# Sample generated by Stan
# stan_version_major=2
# stan_version_minor=21
# stan_version_patch=0
# init=user
# enable_random_init=1
# seed=42
# chain_id=1
# iter=10000
# warmup=5000
# save_warmup=1
# thin=1
# refresh=1000
# stepsize=1
# stepsize_jitter=0
# adapt_engaged=1
# adapt_gamma=0.05
# adapt_delta=0.8
# adapt_kappa=0.75
# adapt_t0=10
# max_treedepth=15
# sampler_t=NUTS(diag_e)
# sample_file=stan_samples/LV_treatment_1.csv
# diagnostic_file=stan_diagnostics/LV_treatment_1.csv
# append_samples=0
#
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,beta,sigma.1,y0_hat.1,y0_hat.2,r_s,r_r,K_s,K_r,p_alpha,p_beta,p_sigma.1,p_y0_hat.1,p_y0_hat.2,p_r_s,p_r_r,p_K_s,p_K_r,g_alpha,g_beta,g_sigma.1,g_y0_hat.1,g_y0_hat.2,g_r_s,g_r_r,g_K_s,g_K_r
266.709,0.00476732,0.0139417,1,3,0,-265.091,0.316192,0.576222,-2.06936,7.53891,8.21955,-4.23785,-3.1298,8.99578,9.57781,0.499666,0.555344,0.363652,-0.278726,-0.786203,-0.442427,0.945243,0.508956,-0.707761,46.1482,11.4717,-20.0646,-33.8584,82.4327,-23.3764,-66.8222,-18.1851,-82.9594
268.061,0.995245,0.00157953,7,127,0,-262.018,0.308772,0.458535,-2.04907,7.57066,8.16927,-4.16179,-3.10012,8.97443,9.57481,-0.54801,-1.62843,1.48283,1.71943,1.55427,1.05819,-0.479235,-0.356908,0.296113,-79.5649,5.95283,-12.1598,114.808,-1.78985,27.4822,95.2667,56.9926,-125.457
267.857,0.999075,0.00292952,6,79,0,-265.507,0.306648,0.339774,-1.99346,7.49182,8.14913,-4.13661,-3.13005,8.98692,9.57678,-0.0668277,-0.531589,0.447206,-0.295811,-0.17243,0.0929535,-1.76056,-0.282695,-0.952402,47.9205,-13.9728,7.04322,-102.103,-10.8684,-16.2883,-52.4497,-20.1721,4.44341
266.886,0.774978,0.00543523,6,63,0,-263.208,0.236433,0.47635,-2.01451,7.50443,8.15512,-4.12371,-3.10085,8.84042,9.56489,-0.195827,1.39838,0.956615,1.19495,0.717435,-0.884282,0.657583,-0.974685,0.582758,25.9607,8.85383,3.18191,-66.7902,-18.1911,-4.69841,89.3925,-15.6403,-383.66
266.439,0.985715,0.00540331,5,31,0,-261.598,0.288751,0.278249,-1.96307,7.56115,8.16708,-4.07729,-3.10846,8.87239,9.57935,0.464562,1.84664,-0.0837992,0.00543023,0.724452,-0.255839,-0.228729,-1.01818,-2.09054,81.8486,-30.6467,12.4793,5.24886,37.7085,-1.69912,101.426,-45.144,133.607
265.455,0.6849,0.00952176,5,31,0,-260.669,0.18797,0.370918,-2.06895,7.51706,8.17939,-4.36436,-3.11679,8.88391,9.5866,-0.119052,-1.87818,-0.106923,-1.43084,-0.249938,1.61173,-0.914992,0.339902,-0.600379,46.88,-24.4241,-20.4458,-95.1599,48.7393,-38.8415,43.5051,-21.3542,299.266
267.335,0.86054,0.00739276,5,31,0,-260.554,0.308935,0.468806,-1.94562,7.51945,8.15682,-4.1295,-3.13567,9.00861,9.58279,-1.2103,-0.99912,-0.489285,2.08469,0.490893,-1.56798,-0.632469,0.252906,1.8302,-79.645,10.3093,23.1937,25.8109,-30.9583,30.4294,-121.08,58.8505,59.2143
267.816,0.943613,0.00921415,5,31,0,-264.877,0.299574,0.435425,-2.08041,7.5008,8.17756,-4.14203,-3.10445,9.01808,9.57955,-1.97777,0.112801,0.437025,0.982623,-0.0275497,-0.0956683,-0.58539,0.129623,0.654347,-64.3357,-4.88642,-21.0696,-27.7887,26.5323,20.2908,85.2251,48.4036,36.2413
267.816,0.0646679,0.0142607,2,5,1,-261.55,0.299574,0.435425,-2.08041,7.5008,8.17756,-4.14203,-3.10445,9.01808,9.57955,-2.02677,-0.102193,-0.470623,-0.821081,1.75601,1.63801,1.21864,0.0291241,0.515786,-64.3357,-4.88642,-21.0696,-27.7887,26.5323,20.2908,85.2251,48.4036,36.2413
269.914,0.995884,0.00217304,5,31,0,-265.927,0.317274,0.450038,-2.05688,7.52196,8.15618,-4.15466,-3.13221,8.99636,9.57843,1.78632,0.383985,1.01692,0.454489,-0.378098,-0.826866,0.0579374,-1.58609,0.222781,-5.90361,4.8467,-11.1488,-19.8023,-28.3244,1.57697,-93.6323,13.0199,-29.885
