# Sample generated by Stan
# stan_version_major=2
# stan_version_minor=21
# stan_version_patch=0
# init=random
# enable_random_init=1
# seed=123456
# chain_id=2
# iter=10000
# warmup=5000
# save_warmup=1
# thin=1
# refresh=1000
# stepsize=1
# stepsize_jitter=0
# adapt_engaged=1
# adapt_gamma=0.05
# adapt_delta=0.8
# adapt_kappa=0.75
# adapt_t0=10
# max_treedepth=10
# sampler_t=NUTS(diag_e)
# sample_file=stan_samples/LCC9_treatment_2.csv
# diagnostic_file=stan_diagnostics/LCC9_treatment_2.csv
# append_samples=0
#
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,theta.1,theta.2,sigma.1,y0_hat.1,p_theta.1,p_theta.2,p_sigma.1,p_y0_hat.1,g_theta.1,g_theta.2,g_sigma.1,g_y0_hat.1
-128.351,0.992538,0.0307407,3,7,0,129.23,1.22838,8.99442,-0.421509,1.61465,1.08739,-0.424688,-0.62232,-0.0896858,9.77469,35.1147,-12.7558,-10.2555
-127.212,1,0.0514234,2,3,0,128.712,1.19939,8.82995,-0.420005,1.65191,0.594602,1.09308,-0.768535,-0.928405,5.40664,-28.1495,-7.65869,-10.9792
-127.212,0.0670055,0.0869484,1,1,0,128.281,1.19939,8.82995,-0.420005,1.65191,0.0854466,-0.158056,1.44698,0.1111,5.40664,-28.1495,-7.65869,-10.9792
-126.876,0.966073,0.0152267,5,31,0,133.658,0.801426,9.0303,-0.325277,1.85163,0.0986673,2.10059,0.914634,-2.88157,-9.80293,32.6502,9.83404,-16.1192
-127.871,0.91486,0.0237467,3,7,0,129.88,0.804343,8.95921,-0.244009,1.85283,0.224626,-1.80308,0.762791,0.366814,-6.19585,6.1676,47.1577,-13.9534
-121.407,0.972326,0.0325634,3,7,0,130.971,0.931646,8.88563,-0.475134,2.13092,1.80947,2.46619,0.510188,3.08406,-6.55483,-10.6651,-38.1823,-15.4044
-119.495,0.859643,0.0509489,2,7,0,123.399,0.87339,8.94463,-0.283101,2.38263,0.389502,0.314015,-0.798305,-2.63071,5.61575,5.52333,47.6588,-10.3528
-118.169,1,0.0607453,2,3,0,119.571,0.857451,8.96006,-0.331473,2.34479,-0.341631,-0.108169,-1.61398,-0.264982,2.60924,11.9224,26.9216,-11.7808
-109.89,0.430828,0.100353,2,7,0,118.679,0.752346,8.9523,-0.430935,2.91121,0.680023,-0.0797079,-0.273908,-4.12715,4.9153,13.1789,-7.19266,-12.108
-81.003,0.563051,0.0438156,4,19,1,115.524,-0.118871,8.99734,-0.403301,4.69961,-3.53949,-2.26394,-0.0165763,7.16853,15.7066,11.8633,32.4269,-11.4391
-76.7944,0.988272,0.0262436,3,7,0,82.3155,-0.205496,8.92586,-0.567537,4.89493,1.9953,1.12655,0.958922,-2.20734,18.2699,-16.9935,-31.85,-14.465
-75.0662,1,0.042001,2,3,0,77.018,-0.232719,8.97416,-0.545547,4.91806,-1.07704,1.06176,0.955986,0.838161,20.4225,4.19715,-20.5911,-13.6891
-70.1285,0.754109,0.0686215,3,7,0,76.6435,-0.392299,8.94137,-0.564342,5.07288,-2.76238,0.278555,-1.03757,2.06036,20.8853,-17.8951,-21.1097,-15.4511
-50.3569,0.648201,0.0637915,3,7,0,72.0464,-1.00491,9.07039,-0.599141,5.27694,-5.42796,-0.749356,-1.21388,3.44691,25.6069,-2.49731,-4.81975,-30.2219
-35.6247,0.607234,0.0467444,3,7,0,53.4072,-1.10613,9.05776,-0.603256,5.76108,3.04061,-1.14517,1.16141,-4.8641,41.8692,-6.93337,17.9763,-16.5428
-32.9247,0.955901,0.0313635,2,3,0,37.4903,-1.14711,9.07831,-0.688659,5.78783,2.75912,-0.131805,0.557275,-1.09108,51.5687,-0.151727,-12.7819,-18.5298
-18.1024,0.796548,0.0459488,2,3,0,35.4542,-1.49457,9.07805,-0.675942,5.80823,-5.2647,1.96102,-0.312238,1.74458,26.7125,-44.4928,20.7051,-38.6507
-8.89295,0.820283,0.0470875,2,3,0,21.4362,-1.57936,9.14251,-0.639863,5.9816,2.33383,-2.21995,1.94096,-3.30819,38.1692,-15.3732,51.789,-29.0489
7.38762,0.908262,0.0508184,2,3,0,10.3553,-1.73927,9.23562,-0.79587,6.0624,4.19334,-0.298646,3.33896,-2.58145,56.5689,10.3722,20.6917,-41.876
7.38762,0.0185583,0.066413,1,1,0,-5.66679,-1.73927,9.23562,-0.79587,6.0624,-0.580571,1.73605,0.165452,0.251744,56.5689,10.3722,20.6917,-41.876
11.4652,0.998053,0.0124977,3,7,0,-5.55339,-1.79015,9.18713,-0.810347,6.09869,2.47943,0.103219,0.987339,-2.16577,44.7791,-28.7514,21.6461,-47.8793
40.2784,0.880334,0.0199249,3,7,0,-9.96035,-2.01937,9.2971,-0.981822,6.29265,5.28833,-2.17787,1.87971,-4.93896,73.6444,-4.6171,12.3644,-63.6569
45.5098,0.934283,0.0245288,2,3,0,-39.0188,-2.07781,9.26197,-0.986192,6.3279,2.57892,-0.229633,0.475597,-2.46015,51.9235,-47.7194,19.3987,-73.0577
51.5284,0.853827,0.0338035,2,3,0,-44.6511,-2.12379,9.31672,-0.96301,6.36442,2.33275,-1.83543,0.0210396,-2.22342,57.5444,-12.7643,41.8212,-67.6195
60.0463,0.587207,0.0391154,2,6,1,-50.3444,-2.18278,9.28449,-0.999338,6.43456,2.40843,-0.197919,1.76216,-3.23402,46.0253,-52.2599,42.6136,-73.6768
84.7134,0.985374,0.0257122,2,3,0,-58.3578,-2.31593,9.38518,-1.08396,6.57077,4.01853,-2.41397,3.11153,-4.58844,61.4029,-1.26881,63.0983,-75.2374
94.1296,0.4868,0.0392184,2,3,0,-82.8311,-2.38109,9.33434,-1.14287,6.62547,-2.25487,0.113786,-2.60437,3.27366,30.2588,-71.9092,56.2186,-95.8218
118.534,0.797835,0.0209848,2,3,0,-91.2127,-2.4528,9.40595,-1.26346,6.73593,2.05171,-3.36081,3.5665,-5.13989,64.1693,-21.8922,63.7642,-90.184
127.622,0.80158,0.0215867,2,3,0,-115.392,-2.44947,9.40122,-1.2956,6.85352,-2.47052,0.0681469,-2.17792,3.68916,129.209,-8.31254,68.2976,-33.831
143.269,1,0.0223685,2,3,0,-123.962,-2.59705,9.42636,-1.34327,6.85503,4.02651,-1.60482,3.34527,-2.9384,14.7597,-42.8945,84.5119,-117.22
156.024,0.967703,0.0348556,2,3,0,-143.038,-2.6276,9.46652,-1.36787,6.94636,-1.9559,0.869017,-2.51285,3.88284,61.9417,16.2386,103.697,-72.4499
175.03,0.327173,0.0505973,1,1,0,-154.061,-2.7275,9.47799,-1.45408,7.01263,2.35928,-0.283485,4.52969,-3.97158,15.2141,-2.24215,111.698,-105.213
185.273,0.936177,0.0198346,2,3,0,-173.828,-2.71252,9.49321,-1.51331,7.07666,1.18566,0.383059,3.73316,-2.72045,99.6819,43.5277,112.435,-38.9136
250.253,0.55722,0.0269775,2,6,1,-181.093,-2.83878,9.52666,-1.95313,7.19049,5.53143,-2.05469,8.89066,-4.94546,154.068,79.6435,96.8029,-54.4461
252.523,0.988385,0.0170288,3,7,0,-249.292,-2.83912,9.50798,-1.95999,7.20688,1.43044,1.21297,1.22649,-1.2002,165.641,13.6374,96.6764,-27.8848
283.711,0.463479,0.0256538,2,3,0,-250.544,-2.97567,9.51708,-2.09382,7.2809,2.89909,-0.043425,5.39303,-5.37048,-27.5684,-106.518,116.089,-145.472
356.824,0.655975,0.0134891,4,15,0,-285.038,-3.19736,9.59397,-2.78044,7.49918,-2.022,3.09182,-11.3862,-0.528334,114.334,32.6324,56.0356,510.386
370.412,0.99645,0.0104626,3,7,0,-356.45,-3.05253,9.56635,-2.81257,7.37886,-1.35126,-0.528411,2.80908,4.23423,325.069,166.692,67.8277,145.173
370.412,3.00374e-12,0.0159509,1,3,1,-370.223,-3.05253,9.56635,-2.81257,7.37886,0.198403,0.163388,0.548489,-0.108057,325.069,166.692,67.8277,145.173
385.86,0.997594,0.00340577,5,31,0,-366.007,-3.16297,9.60181,-3.12544,7.4511,1.05706,0.590772,6.17247,0.372592,137.697,432.27,8.0046,353.515
391.54,0.980289,0.0052093,3,7,0,-384.346,-3.1365,9.57415,-3.11795,7.42039,3.44788,-0.514143,0.349915,-1.45317,-312.039,-358.067,16.9686,-193.665
394.229,0.992405,0.00767153,3,7,0,-392.333,-3.11158,9.57824,-3.11885,7.40703,-0.684716,0.628104,0.225957,1.6969,19.8782,48.7414,22.6039,-46.6588
394.229,5.22887e-11,0.011523,1,1,0,-391.152,-3.11158,9.57824,-3.11885,7.40703,-0.242979,1.64064,-0.609541,1.74157,19.8782,48.7414,22.6039,-46.6588
393.298,0.955869,0.00253439,3,7,0,-391.947,-3.10679,9.56804,-3.13155,7.41108,0.485892,-0.905567,0.95506,0.857155,62.2507,-226.568,15.2927,92.9975
393.525,0.99511,0.00355222,5,35,0,-392.078,-3.13378,9.58786,-3.21128,7.41503,-0.474357,-0.0133688,-1.5833,0.40057,-195.058,132.751,-5.64168,-236.832
392.169,0.88094,0.00535,3,7,0,-391.888,-3.13313,9.59419,-3.213,7.41729,-0.155817,-0.032941,0.299881,-0.668178,-13.0107,430.49,-7.83726,-92.3347
389.047,0.800188,0.00645722,3,15,0,-387.115,-3.10787,9.56601,-3.33245,7.41179,0.0880537,0.842106,1.77431,0.0206646,35.0657,-502.157,-55.1621,113.703
390.351,0.208108,0.00667434,3,7,0,-386.961,-3.12076,9.58208,-3.33249,7.40457,1.04491,-2.35904,-0.160037,-0.312418,-265.508,14.6848,-50.1325,-417.924
391.093,0.989604,0.00225349,3,7,0,-389.571,-3.11609,9.58436,-3.33061,7.41552,-0.266271,0.676857,-0.43852,-1.52406,270.923,354.776,-47.6609,216.998
391.843,0.998599,0.00333956,3,11,0,-390.67,-3.11909,9.57391,-3.31731,7.40974,-0.584277,-0.234604,-1.2924,-0.528658,-223.591,-323.274,-43.7456,-223.386
390.146,0.677569,0.00501522,3,11,0,-385.904,-3.13211,9.5826,-3.30952,7.43387,1.23643,-1.99318,-1.00235,-1.40649,246.719,102.109,-43.247,480.801
