# Sample generated by Stan
# stan_version_major=2
# stan_version_minor=21
# stan_version_patch=0
# init=user
# enable_random_init=1
# seed=12345
# chain_id=3
# iter=10000
# warmup=5000
# save_warmup=1
# thin=1
# refresh=1000
# stepsize=1
# stepsize_jitter=0
# adapt_engaged=1
# adapt_gamma=0.05
# adapt_delta=0.8
# adapt_kappa=0.75
# adapt_t0=10
# max_treedepth=15
# sampler_t=NUTS(diag_e)
# sample_file=stan_samples/LV_vehicle_3.csv
# diagnostic_file=stan_diagnostics/LV_vehicle_3.csv
# append_samples=0
#
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,beta,sigma.1,y0_hat.1,y0_hat.2,r_s,r_r,K_s,K_r,p_alpha,p_beta,p_sigma.1,p_y0_hat.1,p_y0_hat.2,p_r_s,p_r_r,p_K_s,p_K_r,g_alpha,g_beta,g_sigma.1,g_y0_hat.1,g_y0_hat.2,g_r_s,g_r_r,g_K_s,g_K_r
459.032,0.988267,0.00267874,6,63,0,-452.757,0.0606481,-0.0678035,-2.54475,7.7395,8.22096,-3.49971,-3.25111,9.52702,9.58141,-1.12924,1.55722,-0.86983,-2.0666,-0.686362,1.33126,0.547623,-0.471928,-1.02868,146.584,15.3118,-20.1167,-99.3864,-84.5609,-118.397,-32.0067,-62.4173,2.42204
457.414,0.88457,0.00458799,5,31,0,-455.342,0.0652205,-0.0856383,-2.47475,7.75048,8.24636,-3.47665,-3.22264,9.49523,9.55901,1.11312,0.0553478,-1.46531,0.250772,-0.0185607,-0.635311,0.185713,0.441376,0.241563,273.163,-7.39556,11.1865,-55.3598,67.5631,-125.173,51.9638,-182.573,-45.8394
458.68,0.942641,0.00600687,3,15,0,-454.229,0.0555343,-0.104267,-2.4891,7.74086,8.23231,-3.45835,-3.2377,9.48136,9.56973,-0.589083,0.762898,0.625625,1.23715,0.69345,0.88016,0.752566,1.19313,-1.67449,180.223,-94.3863,6.63497,-50.3933,13.4683,-43.9511,55.923,-129.426,117.73
459.563,0.984526,0.00905131,4,15,0,-458.249,0.0181111,-0.0386008,-2.53266,7.75651,8.23979,-3.5179,-3.24783,9.49999,9.58342,0.863496,0.35465,0.291369,-0.566897,0.0869231,-0.04655,-0.104186,-0.000826904,-1.15371,-98.2446,96.8503,-13.3957,51.0444,-13.0262,19.4638,-51.0909,82.2825,-108.612
459.563,6.89746e-08,0.0150348,2,5,1,-454.162,0.0181111,-0.0386008,-2.53266,7.75651,8.23979,-3.5179,-3.24783,9.49999,9.58342,0.367485,0.575011,-0.444421,-0.292353,1.3176,0.170169,-0.361306,-1.11422,-2.62984,-98.2446,96.8503,-13.3957,51.0444,-13.0262,19.4638,-51.0909,82.2825,-108.612
460.147,0.999857,0.00220687,6,63,0,-457.488,0.0105546,-0.0833986,-2.50434,7.74501,8.23348,-3.46652,-3.22316,9.44067,9.56019,0.47584,-0.710919,0.371714,-0.751725,-1.17699,-0.721731,-0.517304,0.168776,-1.29645,-10.1614,6.54392,6.48843,15.7025,3.56467,47.0762,25.6053,-28.861,-63.6
460.326,0.999601,0.00381432,5,31,0,-459.306,0.0382061,-0.0624585,-2.53251,7.75524,8.25064,-3.51403,-3.26455,9.51595,9.5831,0.828218,0.285309,0.0289302,0.539496,-0.558869,0.762085,-0.266366,-0.060132,-0.108974,-2.28353,23.9271,-11.5509,16.4899,41.2421,-35.1291,-29.4225,31.3686,-3.15356
458.837,0.987242,0.00653639,4,15,0,-456.569,0.0578809,-0.0477052,-2.46418,7.74082,8.22115,-3.4494,-3.20377,9.49619,9.58053,-0.76144,-0.483713,0.313248,0.157642,1.03325,-0.915113,-1.27369,-0.255403,-0.0699981,10.1673,7.51354,22.0954,1.05703,-27.2979,61.3883,51.2468,1.66036,12.052
459.221,0.246147,0.0107893,3,7,0,-453.99,0.0382587,-0.0645397,-2.50274,7.73446,8.24805,-3.49819,-3.28036,9.50864,9.57487,-1.74287,-1.85867,-0.729605,0.599933,0.226184,-1.12238,-0.114136,0.802002,1.05396,21.0699,93.3623,-0.623943,-78.5231,-4.66015,-41.544,-89.4053,7.96066,-136.019
460.262,0.993044,0.00301055,5,31,0,-457.118,0.0522853,-0.0899616,-2.52947,7.73969,8.22715,-3.46781,-3.22129,9.49984,9.57144,-0.562736,0.481883,-0.0598521,-1.03038,-0.26836,-0.865286,0.868709,-0.138146,-1.7548,41.9587,-81.3678,-8.07447,-27.9774,-2.79457,8.56167,65.3817,-15.3403,105.918
457.202,0.987995,0.00502799,4,15,0,-455.911,0.0100364,-0.0219511,-2.59761,7.76406,8.24448,-3.52101,-3.24891,9.47571,9.59589,0.326856,-0.17341,-0.184931,0.379053,0.525374,-0.0821561,0.235234,0.883215,1.07153,3.2312,97.6049,-44.8449,66.0606,9.62278,-39.9174,-51.6702,-5.36124,-62.2189
458.021,0.55081,0.0082391,4,15,0,-453.479,0.0637245,-0.126678,-2.50673,7.73126,8.22671,-3.44057,-3.24492,9.4987,9.55501,-0.674335,-1.04002,2.00058,1.19151,0.0995261,0.525034,0.179609,1.24452,-0.509865,26.3377,-87.4574,0.651424,-38.3311,-24.388,61.536,32.5662,-8.70583,48.6608
460.45,0.998137,0.0048179,4,15,0,-456.651,0.0672859,-0.0896806,-2.50278,7.75324,8.2364,-3.48346,-3.23158,9.5335,9.56504,-0.559679,1.26632,0.0232821,0.883396,0.917064,-1.42998,-0.0649943,0.518461,1.32011,-10.9559,-30.082,3.63918,34.7941,18.8747,20.496,35.024,52.6892,7.21901
460.328,0.993213,0.00802942,4,31,0,-458.395,0.0317197,-0.0825296,-2.42897,7.73952,8.2339,-3.48841,-3.25389,9.49253,9.57704,-1.03377,0.784202,0.28437,-0.0306783,0.521571,0.132554,-0.824173,-1.04809,0.181478,-13.1843,-21.8392,33.5337,-29.0714,-9.05483,5.05284,-1.72548,14.2615,39.077
459.511,0.28511,0.01314,3,7,0,-457.299,0.0305789,-0.0738888,-2.44606,7.75131,8.23917,-3.47452,-3.26179,9.4921,9.57345,0.936768,0.449314,-1.46296,0.426213,0.467232,0.284512,-0.356355,-0.768685,0.0642862,-155.796,31.7015,24.7083,71.6476,-10.0749,117.536,-37.1738,111.979,-51.366
459.799,0.970137,0.00420222,5,31,0,-453.644,-0.0135284,-0.0312774,-2.49287,7.74727,8.23413,-3.50033,-3.23191,9.43408,9.58672,-0.800904,-0.887906,1.28132,-1.32717,1.17274,1.04439,-0.208383,1.57343,1.57873,-39.1823,73.4211,9.01028,5.21317,-16.6128,7.1006,-18.7797,-13.612,-62.2062
459.375,0.93643,0.00650717,3,15,0,-453.315,0.0223104,-0.0962646,-2.50199,7.73157,8.22343,-3.51337,-3.25047,9.50423,9.57648,-1.51818,1.64911,0.299042,-1.11485,-0.757425,-0.195275,0.453729,-1.86521,1.21119,-18.5935,-68.2594,-0.718482,-90.1768,-47.4557,-41.8636,12.2793,31.3471,103.65
458.186,0.916908,0.00928184,3,15,0,-455.934,-0.00681438,-0.0383783,-2.53763,7.77174,8.24272,-3.50626,-3.2445,9.43308,9.58159,-0.201614,0.741811,-0.362276,-0.545278,-1.31349,0.835868,0.0214491,-0.917298,-0.465838,12.4355,99.1091,-15.3207,109.322,3.67134,-10.2643,-44.8612,-47.9272,-119.114
458.186,0.0118258,0.0126115,4,15,0,-453.896,-0.00681438,-0.0383783,-2.53763,7.77174,8.24272,-3.50626,-3.2445,9.43308,9.58159,-0.082407,1.10994,0.217106,-1.13964,-0.768469,0.20111,-1.96754,-0.111877,-1.21622,12.4355,99.1091,-15.3207,109.322,3.67134,-10.2643,-44.8612,-47.9272,-119.114
458.304,0.99461,0.00224762,5,31,0,-452.654,-0.00807282,-0.0479964,-2.53702,7.74764,8.23419,-3.50331,-3.28448,9.44289,9.59353,0.0522105,-0.365028,0.331265,-2.66045,0.679525,0.0760182,-0.122594,0.94438,-1.61299,-24.1436,78.6066,-14.57,-1.18464,-73.7651,-9.23431,-106.651,-16.992,-43.4611
