# Sample generated by Stan
# stan_version_major=2
# stan_version_minor=21
# stan_version_patch=0
# init=random
# enable_random_init=1
# seed=42
# chain_id=2
# iter=10000
# warmup=5000
# save_warmup=1
# thin=1
# refresh=1000
# stepsize=1
# stepsize_jitter=0
# adapt_engaged=1
# adapt_gamma=0.05
# adapt_delta=0.8
# adapt_kappa=0.75
# adapt_t0=10
# max_treedepth=15
# sampler_t=NUTS(diag_e)
# sample_file=stan_samples/LCC1_theta_logistic_4-14-20_2.csv
# diagnostic_file=stan_diagnostics/LCC1_theta_logistic_4-14-20_diagnostics_2.csv
# append_samples=0
#
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,theta.1,theta.2,sigma.1,y0_hat.1,p_theta.1,p_theta.2,p_sigma.1,p_y0_hat.1,g_theta.1,g_theta.2,g_sigma.1,g_y0_hat.1
-17.3819,0.85891,0.0456157,3,7,0,37.7188,-1.58874,9.00119,-0.386902,5.28169,4.88455,-2.29856,-0.478739,-3.36191,26.0258,-5.57697,13.5077,-15.6376
-18.3913,0.893157,0.0550486,2,3,0,20.3369,-1.6785,8.90508,-0.422915,5.19776,-1.71821,0.413937,-0.776292,0.40616,14.0579,-27.7789,5.67624,-23.439
-16.8777,0.846801,0.0721404,2,3,0,19.9245,-1.66842,9.05442,-0.46797,5.15822,-0.762329,2.24846,-0.603303,0.304876,25.0082,-4.94456,-0.588922,-23.6494
-16.8777,0.369817,0.083949,2,6,1,17.9128,-1.66842,9.05442,-0.46797,5.15822,-0.687514,-0.39346,1.12339,-0.425162,25.0082,-4.94456,-0.588922,-23.6494
3.24959,0.940007,0.0301938,4,15,0,17.4976,-2.01119,9.12592,-0.498728,5.60681,-4.08637,1.09304,-2.10672,4.37756,24.2194,-11.8648,29.1013,-23.1301
143.073,0.610055,0.0442691,3,8,1,-6.20008,-3.18811,9.6775,-1.69213,7.04004,-9.17668,0.953608,-10.4884,8.86674,71.8688,108.298,76.7453,63.5773
151.031,0.959863,0.0290249,2,3,0,-143.944,-3.20118,9.63843,-1.73518,6.97835,0.0110392,-2.00891,-2.7055,-1.67885,-31.8034,45.6842,84.2217,-30.7884
159.504,0.590009,0.0443958,2,3,0,-150.578,-3.14604,9.53943,-1.82939,7.01763,-0.531406,1.48908,3.88882,0.478433,32.0121,-33.3747,79.5886,61.4137
176.605,0.956528,0.0278974,2,3,0,-159.291,-3.13882,9.57087,-2.00395,6.95848,-0.774983,-1.88971,5.4062,1.10852,-10.1287,-10.6448,84.8873,-1.92755
176.605,0.02362,0.0420865,1,3,0,-175.325,-3.13882,9.57087,-2.00395,6.95848,0.320563,-0.121451,-0.647743,-1.42204,-10.1287,-10.6448,84.8873,-1.92755
175.786,0.997677,0.00700303,2,3,0,-175.674,-3.1344,9.57567,-1.99456,6.96235,0.265205,0.332732,0.0752265,0.19536,12.6913,5.39549,85.0161,15.691
214.586,0.799212,0.0116719,4,16,1,-173.923,-3.14912,9.60608,-2.49171,6.93573,-1.00159,0.516852,8.93914,-0.385656,-108.463,66.3456,76.2531,-123.645
218.356,0.700664,0.0121758,3,7,0,-212.293,-3.11631,9.54587,-2.54079,6.94622,0.944807,1.58085,2.81161,0.91121,-2.10939,-157.994,72.656,28.5206
223.254,0.997448,0.0101066,3,7,0,-217.911,-3.13081,9.58528,-2.56908,6.94557,-0.613714,2.35301,-2.18473,-0.0190013,4.84344,23.3545,78.894,-2.06488
225.131,0.37698,0.0166203,2,6,1,-220.962,-3.15315,9.59113,-2.60057,6.95986,0.745178,-0.316754,2.53495,-1.12101,-72.0661,4.26541,77.064,-31.4083
224.928,0.870284,0.00659104,3,7,0,-222.704,-3.12914,9.57939,-2.59644,6.95803,-1.88479,-0.178367,0.846696,-0.383028,73.5901,9.96687,76.9451,83.4121
228.008,0.870096,0.00809128,4,15,0,-223.448,-3.14343,9.59194,-2.64158,6.96867,0.744736,1.17355,-2.61102,0.609528,69.1741,59.1338,75.4381,97.077
226.955,0.887546,0.00990145,4,15,0,-224.946,-3.14909,9.60784,-2.63929,6.95066,1.16611,-1.01102,-1.01213,0.782074,-39.279,117.25,74.7465,-48.5127
244.348,0.985476,0.0125658,3,7,0,-226.022,-3.12544,9.59693,-2.87235,6.92906,-1.21502,1.26137,5.77349,0.501802,-18.1068,144.944,68.4932,-103.209
244.348,6.22576e-08,0.0197712,1,1,0,-239.021,-3.12544,9.59693,-2.87235,6.92906,1.24634,-2.73662,1.26081,0.148136,-18.1068,144.944,68.4932,-103.209
243.318,0.995812,0.00349339,4,15,0,-241.212,-3.15768,9.57907,-2.86828,6.97721,-1.22563,-0.841209,-0.675393,1.24326,-78.073,-119.226,65.5291,79.2356
244.539,0.987256,0.00563306,3,7,0,-242.442,-3.14417,9.60553,-2.8787,6.95072,-0.85697,0.857808,1.32541,0.982887,-5.91896,181.73,67.698,-24.7665
250.542,0.994714,0.0088632,4,15,0,-244.61,-3.13188,9.57513,-2.94136,6.95088,0.419184,1.02427,-2.89722,-1.49788,-11.4811,-91.2575,67.4921,36.0149
250.542,3.59813e-05,0.0140966,1,1,0,-248.853,-3.13188,9.57513,-2.94136,6.95088,-1.25528,-1.2242,-0.543522,-0.0860413,-11.4811,-91.2575,67.4921,36.0149
272.465,0.970916,0.00259554,6,95,0,-248.816,-3.1271,9.57197,-3.33044,6.946,-0.562001,-0.877682,-6.79473,0.210266,-26.8728,-267.682,43.103,52.8807
272.492,0.961204,0.00392727,2,7,0,-270.885,-3.12651,9.57353,-3.33979,6.95097,0.402836,-1.09167,1.35181,0.1802,149.148,-189.117,41.4786,226.541
274.326,0.667141,0.00579194,2,3,0,-271.944,-3.13433,9.58749,-3.34112,6.94573,0.557944,2.05561,-0.363243,0.306917,-66.1111,47.9199,45.5529,-48.1461
278.744,0.996245,0.00455069,4,23,0,-271.641,-3.1289,9.58711,-3.44907,6.94268,-0.491241,0.36966,3.67792,0.54905,56.2,119.692,35.5367,7.15015
278.744,0.1102,0.00718788,2,5,0,-277.92,-3.1289,9.58711,-3.44907,6.94268,1.02949,0.41086,-0.627938,-0.155126,56.2,119.692,35.5367,7.15015
282.472,0.948554,0.00175251,6,111,0,-271.625,-3.13186,9.58938,-3.59604,6.94495,0.301459,0.81201,-4.09108,2.0514,53.4571,208.109,17.3358,17.8856
281.687,0.966214,0.00250483,4,31,0,-279.645,-3.12043,9.58321,-3.56856,6.93596,-0.118327,-1.48839,-1.18603,0.669325,186.036,109.36,20.4997,14.9714
280.167,0.863744,0.00369919,3,7,0,-279.562,-3.14672,9.59016,-3.57782,6.95415,0.737176,-0.403749,0.619057,0.347693,-401.472,-32.2342,15.7761,-170.92
281.327,0.966704,0.0044001,3,7,0,-278.485,-3.12476,9.59024,-3.59815,6.93999,-1.35114,0.91242,0.972217,1.44219,288.584,376.251,14.8008,97.6063
281.327,1.49626e-05,0.00645666,1,3,0,-279.254,-3.12476,9.59024,-3.59815,6.93999,-1.35853,0.813442,-0.885814,-0.923833,288.584,376.251,14.8008,97.6063
281.425,0.997521,0.00130279,6,79,0,-278.814,-3.13825,9.5821,-3.57805,6.94935,0.175945,-0.727959,1.4283,1.61907,-310.355,-232.267,18.0268,-120.666
279.128,0.857852,0.0020395,2,3,0,-278.16,-3.1405,9.57857,-3.57837,6.94872,-0.534136,-1.27298,-0.171162,-0.0207485,-554.28,-450.129,13.2584,-283.555
279.2,0.995572,0.00239408,3,7,0,-277.281,-3.12846,9.5769,-3.5777,6.95445,-1.66372,-1.03303,-0.0441931,-0.0246039,355.184,-175.607,13.3289,488.08
280.866,1,0.00370358,2,3,0,-278.634,-3.13491,9.58374,-3.57579,6.9408,0.227185,1.74893,0.191089,-1.14753,-441.122,-164.798,17.5343,-369.704
280.123,0.197853,0.00575443,3,13,0,-277.977,-3.13204,9.58377,-3.57191,6.93605,-1.85822,-0.411668,-0.62582,-0.527095,-472.881,-140.963,16.819,-469.591
