# Sample generated by Stan
# stan_version_major=2
# stan_version_minor=21
# stan_version_patch=0
# init=user
# enable_random_init=1
# seed=12345
# chain_id=1
# iter=100
# warmup=50
# save_warmup=1
# thin=1
# refresh=10
# stepsize=1
# stepsize_jitter=0
# adapt_engaged=1
# adapt_gamma=0.05
# adapt_delta=0.8
# adapt_kappa=0.75
# adapt_t0=10
# max_treedepth=15
# sampler_t=NUTS(diag_e)
# sample_file=stan_samples/LV_vehicle.csv
# diagnostic_file=stan_diagnostics/LV_vehicle.csv
# append_samples=0
#
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,beta,sigma.1,y0_hat.1,y0_hat.2,r_s,r_r,K_s,K_r,p_alpha,p_beta,p_sigma.1,p_y0_hat.1,p_y0_hat.2,p_r_s,p_r_r,p_K_s,p_K_r,g_alpha,g_beta,g_sigma.1,g_y0_hat.1,g_y0_hat.2,g_r_s,g_r_r,g_K_s,g_K_r
456.543,0.915796,0.00757157,5,31,0,-449.786,0.0648643,-0.0440143,-2.45813,7.77655,8.24059,-3.46719,-3.25213,9.51367,9.5763,-1.26262,-1.49691,1.39491,-1.09083,0.729336,0.71137,1.03541,-1.79315,1.10358,-72.7159,109.392,13.7187,162.293,-14.8743,101.8,-57.2087,75.9075,-151.623
460.276,0.573288,0.011175,3,7,0,-455.994,0.0325516,-0.100554,-2.50454,7.73744,8.24068,-3.50475,-3.24179,9.51259,9.56782,-0.839414,0.87206,0.745039,-1.0289,-0.346904,0.518547,-0.415677,2.19724,-0.310516,-47.3148,-70.9424,1.05744,-45.8857,37.4261,-5.59533,40.8576,58.3652,75.6356
459.012,0.894607,0.0062628,4,31,0,-457.482,0.0316131,-0.0577134,-2.48023,7.75768,8.24929,-3.48637,-3.26387,9.48266,9.56707,0.575051,-0.669917,-0.165901,0.830932,-0.469458,-0.854503,-0.431045,0.345485,0.554361,-10.8249,124.646,8.70328,50.9315,7.79286,19.5453,-76.9572,4.76705,-208.465
458.756,0.750326,0.0086748,4,15,0,-453.919,0.00400067,-0.0845352,-2.42633,7.75904,8.23614,-3.51013,-3.2181,9.45683,9.55931,-0.397129,-0.648992,1.10681,-0.611093,0.914198,0.598679,0.684417,-0.717055,2.30681,20.9836,-1.59702,36.1235,26.7558,22.2845,-31.8884,42.5187,-36.952,-54.7666
457.407,0.604508,0.00802388,4,23,0,-450.784,0.0207116,-0.0503481,-2.50278,7.76151,8.23916,-3.54927,-3.25485,9.52648,9.59694,-0.687118,0.819668,-2.09178,-0.308503,-0.60538,1.1927,-1.17309,2.08057,0.372379,-57.7842,-15.3786,0.0608613,33.7922,7.23236,-46.2563,-5.1351,78.8816,109.669
460.505,0.87457,0.00498502,4,23,0,-453.318,0.0339178,-0.0899546,-2.47629,7.74463,8.24549,-3.49013,-3.24248,9.49576,9.55387,1.55691,-1.65479,0.502796,-0.27428,-1.16236,1.59952,0.331391,-2.13862,0.539028,-16.2207,40.2291,15.3613,-9.44661,30.7212,6.07582,-7.51723,20.9517,-134.466
459.913,0.955183,0.00649999,4,15,0,-456.536,0.0387666,-0.0866095,-2.50138,7.74555,8.25208,-3.49571,-3.26612,9.50351,9.55683,-0.556959,1.14896,-0.678175,0.369426,-0.584889,-1.42497,1.4189,0.265811,-0.264625,13.4352,76.5781,2.20672,-20.5936,30.8176,-22.2196,-55.4262,7.93243,-176.158
456.098,0.993598,0.0104847,3,7,0,-455.349,0.0572648,-0.134288,-2.48651,7.76111,8.22078,-3.51476,-3.27888,9.54142,9.54338,-0.195861,-0.121707,-0.193687,0.0368089,0.128,-0.858075,-0.40243,0.472191,-0.517646,-12.803,19.2656,3.99046,40.6885,-103.214,-25.598,-72.9151,60.869,-142.944
456.098,7.53885e-05,0.0185941,1,3,1,-452.365,0.0572648,-0.134288,-2.48651,7.76111,8.22078,-3.51476,-3.27888,9.54142,9.54338,0.53019,-0.255465,-1.13254,-1.76969,-1.00649,0.0537312,-0.0498222,-0.927985,0.908319,-12.803,19.2656,3.99046,40.6885,-103.214,-25.598,-72.9151,60.869,-142.944
457.696,0.997272,0.00234712,6,63,0,-450.658,0.0432582,-0.0647991,-2.60093,7.73988,8.2536,-3.47397,-3.27622,9.49396,9.59738,0.656448,-0.540274,0.841902,0.0305694,1.25761,-1.49816,-1.94729,1.53707,-1.63218,17.5767,-55.5495,-44.4475,-28.386,69.7476,7.11469,-3.94986,-2.58165,169.656
