# Sample generated by Stan
# stan_version_major=2
# stan_version_minor=21
# stan_version_patch=0
# init=random
# enable_random_init=1
# seed=12345
# chain_id=4
# iter=10000
# warmup=5000
# save_warmup=1
# thin=1
# refresh=1000
# stepsize=1
# stepsize_jitter=0
# adapt_engaged=1
# adapt_gamma=0.05
# adapt_delta=0.8
# adapt_kappa=0.75
# adapt_t0=10
# max_treedepth=15
# sampler_t=NUTS(diag_e)
# sample_file=stan_samples/LCC9_vehicle_4.csv
# diagnostic_file=stan_diagnostics/LCC9_vehicle_4.csv
# append_samples=0
#
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,theta.1,theta.2,sigma.1,y0_hat.1,p_theta.1,p_theta.2,p_sigma.1,p_y0_hat.1,g_theta.1,g_theta.2,g_sigma.1,g_y0_hat.1
6.91752,0.396949,0.058928,2,3,0,9.33102,-1.91597,9.19688,-0.795932,6.07174,-4.42724,0.180956,-2.03807,2.95129,39.1125,-14.6238,18.2688,-60.2596
6.67427,0.794654,0.023302,3,7,0,-2.70631,-1.99253,9.12949,-0.812554,6.07802,-2.01925,-0.0303079,-0.629539,1.86046,11.4613,-71.1722,10.4459,-77.3876
23.6453,1,0.023971,2,3,0,-6.38447,-2.04325,9.24224,-0.805976,6.25214,-1.88988,2.82864,-1.16477,4.64673,52.1106,-4.87942,46.1421,-51.7019
27.8655,0.753941,0.0399877,2,3,0,-22.601,-2.05415,9.21882,-0.879319,6.27658,-1.3893,-0.107433,-2.3289,1.77865,55.8604,-23.9157,24.7467,-58.3868
63.0533,0.652878,0.0372333,2,3,0,-23.8161,-2.25077,9.2768,-1.08192,6.52895,-5.73289,1.94762,-3.1084,5.67036,93.102,-29.7975,15.4717,-61.1434
68.236,0.861814,0.0274262,2,3,0,-61.5103,-2.31501,9.30378,-1.05915,6.52669,3.26373,-1.34156,-0.344555,-0.938697,67.1873,-26.0841,35.4296,-74.4557
82.1558,0.839133,0.0328659,2,3,0,-66.1263,-2.39867,9.34944,-1.13751,6.58432,-3.39233,1.28585,-2.22118,3.73685,64.267,-11.9105,35.3926,-89.9559
87.3613,0.946209,0.0372925,1,1,0,-81.3746,-2.44086,9.37333,-1.1412,6.61039,-2.15285,0.634883,-0.946779,2.4575,54.78,0.310925,45.4777,-94.3147
87.3613,0.0122669,0.0539312,1,3,1,-85.5885,-2.44086,9.37333,-1.1412,6.61039,-0.0909588,-1.61781,0.538967,0.793431,54.78,0.310925,45.4777,-94.3147
114.232,0.994458,0.00933687,4,15,0,-86.8964,-2.52929,9.35407,-1.24904,6.79955,3.72327,-0.423445,3.24342,-5.48715,82.3424,-32.6183,55.8452,-68.5154
138.587,0.955883,0.0151085,3,7,0,-112.077,-2.61614,9.38782,-1.40796,6.89959,-4.75274,1.368,-3.96749,3.58029,105.154,-24.4239,48.4901,-70.7321
159.097,0.951944,0.022288,2,3,0,-136.522,-2.75432,9.44254,-1.4158,7.01416,4.95849,-0.884095,1.93696,-4.00367,68.2572,20.8159,89.7097,-66.9877
189.71,0.951084,0.0324331,2,3,0,-158.763,-2.86907,9.41571,-1.58956,7.14436,-4.08382,0.605757,-5.51826,3.79454,54.9846,-71.5802,87.0126,-61.9863
189.71,2.68429e-08,0.0468873,1,1,0,-187.796,-2.86907,9.41571,-1.58956,7.14436,1.58238,0.408704,-0.959275,-0.486905,54.9846,-71.5802,87.0126,-61.9863
191.538,0.992495,0.00832567,3,7,0,-188.048,-2.86601,9.41955,-1.60217,7.15714,0.0558738,0.713927,-1.87516,1.71806,74.9664,-60.5811,86.5381,-43.8923
200.829,0.976603,0.0132206,2,3,0,-190.228,-2.90677,9.45141,-1.67233,7.14867,1.84549,-1.93744,3.41988,-1.53195,38.9196,-32.3793,83.994,-96.4278
203.912,0.849654,0.0201681,2,3,0,-198.46,-2.89582,9.42573,-1.70826,7.17902,0.232089,0.443721,2.54259,-2.04662,76.8674,-82.2326,75.4827,-53.7191
205.288,0.679041,0.0232646,3,7,0,-201.665,-2.93414,9.43627,-1.71743,7.15946,-1.66725,1.54834,-1.28037,0.655449,1.71668,-94.177,76.1949,-128.629
246.488,0.890185,0.018563,3,7,0,-204.551,-3.04962,9.49307,-1.98484,7.30509,5.93188,0.621531,6.21773,-3.10483,93.075,-14.973,74.4872,-18.8358
246.488,0.322293,0.0233167,2,3,0,-243.78,-3.04962,9.49307,-1.98484,7.30509,-0.575427,-1.61116,0.0523834,1.57715,93.075,-14.973,74.4872,-18.8358
256.769,1,0.0087329,3,7,0,-245.091,-3.15966,9.5249,-2.01177,7.36753,2.91174,-1.19451,2.78534,-2.38612,12.5095,-12.8194,90.1496,-41.3224
266.214,0.906184,0.0138541,3,7,0,-255.403,-3.16023,9.53914,-2.12608,7.38012,-0.33709,0.336147,-4.3928,1.44906,77.6689,49.0951,73.6191,9.65552
278.217,0.999514,0.0179499,3,7,0,-266.025,-3.24333,9.54986,-2.27743,7.44394,2.09155,-0.673699,4.38803,-0.548163,32.391,-45.1706,50.6823,71.9347
277.335,0.333333,0.0281868,1,3,1,-276.605,-3.22893,9.56069,-2.25417,7.42529,-0.247152,-0.205687,0.0107849,-1.16455,53.7861,41.8526,57.7784,35.7043
276.392,0.853264,0.0110138,2,3,0,-275.946,-3.24912,9.56429,-2.25805,7.40653,0.257656,-0.313935,0.797256,-0.305259,-80.1074,-22.4027,55.0893,-129.887
278.531,0.998746,0.0127462,3,7,0,-276.113,-3.21365,9.54386,-2.28563,7.42024,-0.193473,-1.34976,-1.72252,-0.103491,49.6146,-28.7582,47.6466,41.8621
278.518,0.434663,0.0198686,2,7,1,-277.398,-3.2388,9.56697,-2.27621,7.4144,1.23044,-0.825892,0.0619973,-0.197306,-3.59537,33.9153,53.9313,-49.4492
283.379,0.950339,0.0097082,4,19,0,-276.044,-3.26857,9.57735,-2.5815,7.45162,1.54028,-0.515456,2.83288,-2.0018,81.7802,39.9714,-31.5159,112.396
283.609,0.538702,0.013664,3,9,0,-277.513,-3.29751,9.59687,-2.43538,7.46046,-0.140028,0.0439365,3.47158,0.344336,31.2509,96.2505,18.4184,48.2038
284.285,0.877684,0.00831773,4,15,0,-282.445,-3.22756,9.55627,-2.49006,7.42289,-1.5351,-0.613136,-0.691445,-0.6863,61.0554,-17.4594,-4.23122,33.2236
284.708,0.976868,0.0100809,3,7,0,-284.096,-3.24041,9.57006,-2.47787,7.42141,0.47841,-0.583752,-0.403769,-0.701226,37.8898,49.3637,2.50736,-20.1144
284.708,0.253554,0.0148784,3,11,0,-283.367,-3.24041,9.57006,-2.47787,7.42141,0.765628,0.376375,1.38398,-0.195754,37.8898,49.3637,2.50736,-20.1144
284.745,0.99305,0.00515767,4,31,0,-284.383,-3.28717,9.5809,-2.46766,7.44456,-0.47717,0.687006,-0.0625535,0.14281,-67.1617,-24.789,7.71016,-59.0384
284.402,0.877062,0.00785439,4,23,0,-281.689,-3.27886,9.58169,-2.49603,7.4325,1.40106,0.350092,-1.80004,0.316677,-82.9172,-8.79514,-1.94155,-118.411
284.516,0.993932,0.00946889,3,7,0,-284.076,-3.28619,9.57176,-2.4782,7.44815,0.120542,-0.393193,-0.34093,0.771631,-87.1325,-95.3406,2.53107,-44.9011
284.516,0.259262,0.0143403,2,3,0,-282.923,-3.28619,9.57176,-2.4782,7.44815,-0.896511,0.511448,0.16097,-1.44716,-87.1325,-95.3406,2.53107,-44.9011
284.718,0.997693,0.00512778,4,23,0,-283.968,-3.26284,9.56383,-2.48439,7.43226,0.493279,-1.06994,-0.204248,0.264503,-69.252,-91.6236,-0.36749,-67.2646
283.017,0.783868,0.00781275,4,31,0,-278.727,-3.25503,9.56434,-2.42486,7.45535,1.13775,0.380181,-2.43151,1.1079,95.3784,8.71724,15.3758,150.805
283.015,0.980752,0.00782828,4,23,0,-282.073,-3.2784,9.57992,-2.54772,7.4272,-0.517258,0.564687,-0.655849,-0.932319,-132.384,-47.0158,-21.367,-184.364
284.147,0.98696,0.0114724,3,15,0,-281.404,-3.27746,9.5625,-2.49279,7.45153,-0.613098,0.499683,1.77632,-1.30633,-60.7649,-134.937,-4.19129,11.0907
284.335,1,0.0169532,2,3,0,-284.102,-3.28843,9.59241,-2.47516,7.44159,0.180914,-0.384533,-0.445358,0.297093,-35.7295,61.9291,6.33692,-66.5932
283.781,0.215035,0.0255915,1,3,0,-283.68,-3.29036,9.57012,-2.48241,7.46672,-0.17373,-0.286773,0.278871,0.102311,-19.4655,-90.4951,-0.345914,84.7506
282.734,0.921294,0.00862111,3,7,0,-281.937,-3.26487,9.59308,-2.51745,7.42069,0.842582,-0.762871,-0.50602,0.213931,-3.91604,143.344,-10.3205,-120.312
284.885,0.972332,0.0111985,2,7,0,-282.949,-3.2666,9.56722,-2.50886,7.44802,0.261488,-0.924114,0.469278,1.65175,11.2472,-50.132,-7.14692,53.9305
