rank,j,y_rep_mean,y_rep,.lower,.upper,.width,.point,.interval,cell_type,well,agg_count
10,1,2955.871930133832,2826.8002124349127,2058.4690323542573,4148.328558818223,0.95,mhd,mhd,LCC1,1,2715
10,1,2955.871930133832,2826.8002124349127,2058.4690323542573,4148.328558818223,0.95,mhd,mhd,LCC1,2,2601
10,2,5000.721603482141,5331.609923956209,3649.859681396842,7119.511339140436,0.95,mhd,mhd,LCC9,1,4760
10,2,5000.721603482141,5331.609923956209,3649.859681396842,7119.511339140436,0.95,mhd,mhd,LCC9,2,5330
11,1,3025.5716628022124,2863.3054925530873,2072.2356201114417,4098.252308197072,0.95,mhd,mhd,LCC1,1,2682
11,1,3025.5716628022124,2863.3054925530873,2072.2356201114417,4098.252308197072,0.95,mhd,mhd,LCC1,2,2842
11,2,5128.880301900235,5193.10655621163,3697.9872992779615,6968.532836388503,0.95,mhd,mhd,LCC9,1,5054
11,2,5128.880301900235,5193.10655621163,3697.9872992779615,6968.532836388503,0.95,mhd,mhd,LCC9,2,5724
12,1,3094.7004688778447,3457.140230829196,2251.9201085241416,4332.027563504448,0.95,mhd,mhd,LCC1,1,2745
12,1,3094.7004688778447,3457.140230829196,2251.9201085241416,4332.027563504448,0.95,mhd,mhd,LCC1,2,2875
12,2,5266.903514653291,4410.382582940797,3771.746703730899,7477.821473594585,0.95,mhd,mhd,LCC9,1,5073
12,2,5266.903514653291,4410.382582940797,3771.746703730899,7477.821473594585,0.95,mhd,mhd,LCC9,2,5775
13,1,3167.7452809187375,3235.951741935048,2202.2331727072105,4404.501180329207,0.95,mhd,mhd,LCC1,1,2747
13,1,3167.7452809187375,3235.951741935048,2202.2331727072105,4404.501180329207,0.95,mhd,mhd,LCC1,2,2853
13,2,5399.964707516216,5982.520755414504,3824.6487376836403,7445.3654315374715,0.95,mhd,mhd,LCC9,1,5390
13,2,5399.964707516216,5982.520755414504,3824.6487376836403,7445.3654315374715,0.95,mhd,mhd,LCC9,2,6137
14,1,3244.2770474557647,3602.917014667481,2356.779859936406,4358.445035153533,0.95,mhd,mhd,LCC1,1,2727
14,1,3244.2770474557647,3602.917014667481,2356.779859936406,4358.445035153533,0.95,mhd,mhd,LCC1,2,2881
14,2,5531.619287993854,5638.263912896476,3980.208258386326,7659.55946651587,0.95,mhd,mhd,LCC9,1,5680
14,2,5531.619287993854,5638.263912896476,3980.208258386326,7659.55946651587,0.95,mhd,mhd,LCC9,2,6248
15,1,3316.2970382089266,3560.0701981066377,2385.889767320136,4731.526693389127,0.95,mhd,mhd,LCC1,1,2755
15,1,3316.2970382089266,3560.0701981066377,2385.889767320136,4731.526693389127,0.95,mhd,mhd,LCC1,2,2952
15,2,5668.016819715801,5755.374765401083,4068.617060546827,7979.612950252036,0.95,mhd,mhd,LCC9,1,5784
15,2,5668.016819715801,5755.374765401083,4068.617060546827,7979.612950252036,0.95,mhd,mhd,LCC9,2,6286
16,1,3392.750579371736,3463.206642987389,2336.9616891955425,4737.339082410325,0.95,mhd,mhd,LCC1,1,2793
16,1,3392.750579371736,3463.206642987389,2336.9616891955425,4737.339082410325,0.95,mhd,mhd,LCC1,2,2991
16,2,5813.226638035244,5591.621061647614,4313.143789523084,7893.848595991514,0.95,mhd,mhd,LCC9,1,5914
16,2,5813.226638035244,5591.621061647614,4313.143789523084,7893.848595991514,0.95,mhd,mhd,LCC9,2,6544
17,1,3469.5247183621673,3366.3704238187297,2528.4449474959606,4697.337034163064,0.95,mhd,mhd,LCC1,1,2824
