rank,y_rep_mean,j,y_rep,.lower,.upper,.width,.point,.interval,agg_count,well
64,9930.086417558969,1,9851.36692076067,8390.889634320838,11830.006346859034,0.95,mhd,mhd,NA,1
64,9930.086417558969,1,9851.36692076067,8390.889634320838,11830.006346859034,0.95,mhd,mhd,NA,2
65,10071.049995187681,1,9548.81120577021,8499.255452674608,12058.036354542102,0.95,mhd,mhd,NA,1
65,10071.049995187681,1,9548.81120577021,8499.255452674608,12058.036354542102,0.95,mhd,mhd,NA,2
66,10208.711166475672,1,10140.085836185184,8742.54507884197,12211.887007108096,0.95,mhd,mhd,NA,1
66,10208.711166475672,1,10140.085836185184,8742.54507884197,12211.887007108096,0.95,mhd,mhd,NA,2
67,10334.737153048562,1,10035.740355260723,8584.35668104112,12083.270802472545,0.95,mhd,mhd,NA,1
67,10334.737153048562,1,10035.740355260723,8584.35668104112,12083.270802472545,0.95,mhd,mhd,NA,2
68,10468.905935922909,1,10254.307729342148,8889.158404156184,12531.531886164059,0.95,mhd,mhd,NA,1
68,10468.905935922909,1,10254.307729342148,8889.158404156184,12531.531886164059,0.95,mhd,mhd,NA,2
69,10592.272249781272,1,10275.250512338042,9066.297745500648,12513.924882602747,0.95,mhd,mhd,NA,1
69,10592.272249781272,1,10275.250512338042,9066.297745500648,12513.924882602747,0.95,mhd,mhd,NA,2
70,10712.903146406052,1,10171.860987078404,8865.273129850415,12896.955730897234,0.95,mhd,mhd,NA,1
70,10712.903146406052,1,10171.860987078404,8865.273129850415,12896.955730897234,0.95,mhd,mhd,NA,2
71,10835.595679069505,1,11060.836041923261,9220.887547884291,12742.681316174005,0.95,mhd,mhd,NA,1
71,10835.595679069505,1,11060.836041923261,9220.887547884291,12742.681316174005,0.95,mhd,mhd,NA,2
72,10957.022215937506,1,10727.461423936555,9191.302815926827,12973.72702489375,0.95,mhd,mhd,NA,1
72,10957.022215937506,1,10727.461423936555,9191.302815926827,12973.72702489375,0.95,mhd,mhd,NA,2
73,11068.332410529047,1,11604.20838433593,9089.493936610597,12927.482756864396,0.95,mhd,mhd,NA,1
73,11068.332410529047,1,11604.20838433593,9089.493936610597,12927.482756864396,0.95,mhd,mhd,NA,2
74,11190.199379848144,1,10584.387880504519,9409.422782593743,13400.063996361785,0.95,mhd,mhd,NA,1
74,11190.199379848144,1,10584.387880504519,9409.422782593743,13400.063996361785,0.95,mhd,mhd,NA,2
75,11292.120569994095,1,10921.131864695455,9537.70616045846,13204.315820777054,0.95,mhd,mhd,NA,1
75,11292.120569994095,1,10921.131864695455,9537.70616045846,13204.315820777054,0.95,mhd,mhd,NA,2
76,11403.672278342192,1,11654.918551360466,9641.285838433758,13570.773827298508,0.95,mhd,mhd,NA,1
76,11403.672278342192,1,11654.918551360466,9641.285838433758,13570.773827298508,0.95,mhd,mhd,NA,2
77,11512.25465956515,1,11561.185664586552,9753.881081766805,13807.907599743528,0.95,mhd,mhd,NA,1
77,11512.25465956515,1,11561.185664586552,9753.881081766805,13807.907599743528,0.95,mhd,mhd,NA,2
78,11604.110802324543,1,11620.913948562917,9615.539788751443,13670.150045956341,0.95,mhd,mhd,NA,1
78,11604.110802324543,1,11620.913948562917,9615.539788751443,13670.150045956341,0.95,mhd,mhd,NA,2
79,11712.399824202292,1,10980.328279691621,9940.524968852005,13761.27472706973,0.95,mhd,mhd,NA,1
79,11712.399824202292,1,10980.328279691621,9940.524968852005,13761.27472706973,0.95,mhd,mhd,NA,2
80,11812.560600397781,1,11710.534590606023,9940.460015409011,14067.865276836344,0.95,mhd,mhd,NA,1
