rank,j,y_rep_mean,y_rep,.lower,.upper,.width,.point,.interval,cell_type,well,agg_count
10,1,2071.588893182044,2128.8067378752517,1177.2357927151281,3756.294493820612,0.95,mhd,mhd,LCC1,1,1785
10,1,2071.588893182044,2128.8067378752517,1177.2357927151281,3756.294493820612,0.95,mhd,mhd,LCC1,2,2281
10,2,4749.083225498316,4987.465369578538,2591.075986959231,8038.4739234091885,0.95,mhd,mhd,LCC9,1,5663
10,2,4749.083225498316,4987.465369578538,2591.075986959231,8038.4739234091885,0.95,mhd,mhd,LCC9,2,4237
11,1,2094.191204666462,2042.8865254501002,1213.300718563321,3647.0505452208135,0.95,mhd,mhd,LCC1,1,1849
11,1,2094.191204666462,2042.8865254501002,1213.300718563321,3647.0505452208135,0.95,mhd,mhd,LCC1,2,2303
11,2,4872.835804461514,4940.937529037083,2787.9511453490354,8314.358213067297,0.95,mhd,mhd,LCC9,1,5986
11,2,4872.835804461514,4940.937529037083,2787.9511453490354,8314.358213067297,0.95,mhd,mhd,LCC9,2,4387
12,1,2109.6861565049476,1811.3383156055997,1182.3346213523798,3717.4077298620714,0.95,mhd,mhd,LCC1,1,1868
12,1,2109.6861565049476,1811.3383156055997,1182.3346213523798,3717.4077298620714,0.95,mhd,mhd,LCC1,2,2332
12,2,5003.439223063374,5280.131640069483,2712.3766317079694,8465.18173184294,0.95,mhd,mhd,LCC9,1,6089
12,2,5003.439223063374,5280.131640069483,2712.3766317079694,8465.18173184294,0.95,mhd,mhd,LCC9,2,4479
13,1,2127.8325199169294,2957.40867945561,1267.7336277069687,3725.3863217766348,0.95,mhd,mhd,LCC1,1,1904
13,1,2127.8325199169294,2957.40867945561,1267.7336277069687,3725.3863217766348,0.95,mhd,mhd,LCC1,2,2332
13,2,5134.076616491928,4599.843349276995,3110.1111301924684,8977.718676006087,0.95,mhd,mhd,LCC9,1,6472
13,2,5134.076616491928,4599.843349276995,3110.1111301924684,8977.718676006087,0.95,mhd,mhd,LCC9,2,4641
14,1,2143.3209020639965,1934.3782667911669,1310.3156475167948,4142.906599889575,0.95,mhd,mhd,LCC1,1,1898
14,1,2143.3209020639965,1934.3782667911669,1310.3156475167948,4142.906599889575,0.95,mhd,mhd,LCC1,2,2332
14,2,5279.029409900216,7002.922916328929,3140.9455404641076,8611.982512250948,0.95,mhd,mhd,LCC9,1,6467
14,2,5279.029409900216,7002.922916328929,3140.9455404641076,8611.982512250948,0.95,mhd,mhd,LCC9,2,4649
15,1,2157.924513913796,2287.796255932174,1148.678714988058,3637.4710191680792,0.95,mhd,mhd,LCC1,1,1971
15,1,2157.924513913796,2287.796255932174,1148.678714988058,3637.4710191680792,0.95,mhd,mhd,LCC1,2,2488
