rank,y_rep_mean,j,y_rep,.lower,.upper,.width,.point,.interval,agg_count,well
11,1446.9276806400155,1,1356.1498730641483,972.5050198119563,2087.829841064388,0.95,mhd,mhd,1436,1
11,1446.9276806400155,1,1356.1498730641483,972.5050198119563,2087.829841064388,0.95,mhd,mhd,1454,2
12,1489.9434948023961,1,1469.274969175419,978.7509021907092,2232.7495746450536,0.95,mhd,mhd,1424,1
12,1489.9434948023961,1,1469.274969175419,978.7509021907092,2232.7495746450536,0.95,mhd,mhd,1357,2
13,1529.237957430643,1,1545.3456140275696,987.4042944962077,2259.531359845032,0.95,mhd,mhd,1457,1
13,1529.237957430643,1,1545.3456140275696,987.4042944962077,2259.531359845032,0.95,mhd,mhd,1393,2
14,1571.7206131390133,1,1566.3591381708588,1042.9515898790787,2537.909379309567,0.95,mhd,mhd,1409,1
14,1571.7206131390133,1,1566.3591381708588,1042.9515898790787,2537.909379309567,0.95,mhd,mhd,1424,2
15,1613.8665136845696,1,1625.672966903589,1050.5198654135781,2485.914950542884,0.95,mhd,mhd,1476,1
15,1613.8665136845696,1,1625.672966903589,1050.5198654135781,2485.914950542884,0.95,mhd,mhd,1358,2
16,1655.8767169536081,1,1459.0047504818187,1063.4556191097172,2679.1489812862205,0.95,mhd,mhd,1504,1
16,1655.8767169536081,1,1459.0047504818187,1063.4556191097172,2679.1489812862205,0.95,mhd,mhd,1526,2
17,1698.6266965424302,1,1827.343731167107,1129.2924248867894,2468.7387314970333,0.95,mhd,mhd,1486,1
17,1698.6266965424302,1,1827.343731167107,1129.2924248867894,2468.7387314970333,0.95,mhd,mhd,1559,2
18,1744.4332638737985,1,1548.1961649709629,1125.131778327684,2598.5003792705056,0.95,mhd,mhd,1558,1
18,1744.4332638737985,1,1548.1961649709629,1125.131778327684,2598.5003792705056,0.95,mhd,mhd,1499,2
19,1793.0675187589793,1,1794.55154002699,1163.118673604969,2869.484997902153,0.95,mhd,mhd,1557,1
19,1793.0675187589793,1,1794.55154002699,1163.118673604969,2869.484997902153,0.95,mhd,mhd,1457,2
20,1839.9600374442284,1,2011.9471484781316,1196.124975278004,2693.954132201662,0.95,mhd,mhd,1620,1
20,1839.9600374442284,1,2011.9471484781316,1196.124975278004,2693.954132201662,0.95,mhd,mhd,1609,2
21,1888.5244306562763,1,1742.3693479018484,1291.6692642604464,2837.456975960017,0.95,mhd,mhd,1531,1
21,1888.5244306562763,1,1742.3693479018484,1291.6692642604464,2837.456975960017,0.95,mhd,mhd,1596,2
22,1935.3822917307982,1,2013.325359383492,1250.7250419853567,3235.9776332092624,0.95,mhd,mhd,NA,1
22,1935.3822917307982,1,2013.325359383492,1250.7250419853567,3235.9776332092624,0.95,mhd,mhd,NA,2
23,1986.2022007845576,1,1813.5941340875515,1313.2884998508885,2931.4651874270958,0.95,mhd,mhd,NA,1
23,1986.2022007845576,1,1813.5941340875515,1313.2884998508885,2931.4651874270958,0.95,mhd,mhd,NA,2
24,2040.8039903277431,1,2119.3275673390026,1370.7937141303905,3233.3604472828074,0.95,mhd,mhd,NA,1
24,2040.8039903277431,1,2119.3275673390026,1370.7937141303905,3233.3604472828074,0.95,mhd,mhd,NA,2
25,2091.225340555235,1,1953.911653305238,1297.4927564390173,3118.36490387619,0.95,mhd,mhd,2635,1
25,2091.225340555235,1,1953.911653305238,1297.4927564390173,3118.36490387619,0.95,mhd,mhd,2448,2
26,2142.1467315938553,1,2224.8858444757448,1346.3476153714735,3139.741857927338,0.95,mhd,mhd,2262,1
26,2142.1467315938553,1,2224.8858444757448,1346.3476153714735,3139.741857927338,0.95,mhd,mhd,2270,2
27,2202.400607987802,1,2396.574938348992,1482.6934034868218,3274.003561686728,0.95,mhd,mhd,2207,1
27,2202.400607987802,1,2396.574938348992,1482.6934034868218,3274.003561686728,0.95,mhd,mhd,2097,2
28,2257.7448092549007,1,2122.112226890857,1497.4470035377556,3413.847505359711,0.95,mhd,mhd,2174,1
28,2257.7448092549007,1,2122.112226890857,1497.4470035377556,3413.847505359711,0.95,mhd,mhd,2241,2
