par,mean,se_mean,sd,2.5%,25%,50%,75%,97.5%,n_eff,Rhat
"y_rep[10,1]",1410.104998835068,1.0519886126999376,149.86841192138405,1137.848690148911,1306.197302220573,1402.7247639016214,1505.4199917435412,1725.45689783956,20295.424200893227,1.0000914081294248
"y_rep[11,1]",1446.9276806400155,1.0940930402944584,153.3818005266348,1173.6122735008985,1340.2895568026838,1437.839118734381,1544.1714688462125,1775.9752709570428,19653.4660254604,1.0002274557545352
"y_rep[12,1]",1489.9434948023961,1.1368746038288344,158.9183453726623,1199.8520536764543,1378.2753583509705,1481.3251109784233,1591.8322229919913,1823.361392942841,19539.927099428525,0.9998630654225916
"y_rep[13,1]",1529.237957430643,1.1614524534261499,162.99759899823565,1234.4215806046818,1415.1404094280065,1520.4731851034226,1633.4778078753754,1871.6338063529681,19695.161343087864,1.0000283868956596
"y_rep[14,1]",1571.7206131390133,1.1917012366089241,167.35396322771248,1269.0321645009549,1454.5487186349453,1562.3540077327425,1679.0974978411246,1922.6224172931675,19721.37645547486,0.9999961157874845
"y_rep[15,1]",1613.8665136845696,1.221302067956011,173.29069342372,1301.1771264466215,1494.491766045498,1604.6949326550327,1724.6439237356963,1979.7385728236306,20132.80532762395,0.9999335940104672
"y_rep[16,1]",1655.8767169536081,1.2356899445745946,174.38229757172473,1341.0783913195655,1534.048590382938,1646.4046040606295,1767.5309309697354,2022.7544992251337,19915.250138090134,0.9998909494890993
"y_rep[17,1]",1698.6266965424302,1.3004240529633406,179.72449879340624,1374.6922054786112,1573.461574860733,1688.9689881838367,1812.2436112814655,2080.763778864109,19100.492910213827,0.999865966259266
"y_rep[18,1]",1744.4332638737985,1.3272400771387456,185.0576160430693,1414.0385271506686,1613.9632800646677,1734.788598463157,1863.0099597522405,2132.008606602573,19440.836694518497,1.000096442931296
"y_rep[19,1]",1793.0675187589793,1.3441696082841574,189.563429049835,1450.9215705473498,1660.4663790071238,1784.6469038173664,1914.0019311116948,2188.6325129831507,19888.45141514828,1.0002781406454888
"y_rep[20,1]",1839.9600374442284,1.3775778716595901,195.46621286796508,1491.673167096484,1703.1135360049543,1829.1879905628978,1965.2082849579,2249.432760587085,20133.119963812147,0.9999340996446758
"y_rep[21,1]",1888.5244306562763,1.4254560597431372,201.1636685767866,1523.8443436794162,1748.2329995179655,1879.4850607882952,2018.1520237426535,2311.179106636865,19915.509671009357,1.0000891306864095
"y_rep[22,1]",1935.3822917307982,1.460511121009471,205.58713579184766,1564.6500076120815,1793.0419502276764,1923.2821368816274,2063.0871812579608,2370.360009899103,19814.45518878162,0.999996472165874
"y_rep[23,1]",1986.2022007845576,1.4925204588764227,209.0561334773958,1605.0601610617741,1844.361923507732,1974.146880737413,2117.4176479367666,2431.120526898224,19619.37831462348,0.9999824170166653
"y_rep[24,1]",2040.8039903277431,1.5263414183936752,215.18863293049495,1648.8239479167175,1890.8747557163044,2029.7427316990752,2178.3766457782804,2493.082518961784,19876.28770861596,0.9999429314314722
"y_rep[25,1]",2091.225340555235,1.5572556867094103,221.10579206174225,1687.4496471096693,1937.4976450719655,2080.8977156804194,2231.2825157120915,2557.415178098376,20159.529313392995,0.9999109427093847
"y_rep[26,1]",2142.1467315938553,1.591404392036161,225.81855186911974,1730.9244956580303,1987.673512115581,2131.078852262427,2285.7914119937004,2619.0728111129915,20135.30124232839,0.9998940938936626
"y_rep[27,1]",2202.400607987802,1.6833943656888763,235.8505556178724,1777.3323633377126,2036.3749694791973,2190.924472739015,2353.5536332799484,2702.8606918250734,19629.175992917248,0.9999210651298786
"y_rep[28,1]",2257.7448092549007,1.6926077492823193,238.76264847172297,1825.4607538019,2089.390622477588,2245.57632167018,2411.5160787248533,2757.7490989913254,19898.49020126655,0.9999329366417528
"y_rep[29,1]",2316.206066393052,1.7556431403515813,246.64016425719382,1872.4963639032908,2145.7075208183687,2303.1224863214393,2469.9307934316375,2841.274370081852,19735.81720312118,0.9999238591606922
"y_rep[30,1]",2373.808406895896,1.8029876329313799,252.92469404388834,1916.862440710391,2198.691710908637,2359.6554423140847,2535.136931949575,2906.840601838972,19678.725646365325,0.9999844499748398
"y_rep[31,1]",2429.592001573974,1.8827788293164183,256.57648712468495,1965.684345942926,2250.9751183174762,2415.645551571509,2593.4813558778674,2967.8255448610994,18570.991745350744,0.9999342412283428
"y_rep[32,1]",2491.795222726128,1.8753917269189893,264.4663003289323,2012.7299406642219,2307.3283786120414,2478.190795384625,2660.3569582674277,3049.6521820876283,19886.423688546733,1.0000930997693522
"y_rep[33,1]",2556.348242674002,1.9197793338110338,270.4996565415923,2064.848107819356,2369.6289002544277,2539.4907117031216,2727.180380159908,3131.935841178089,19853.213434492547,1.000131373388849
"y_rep[34,1]",2619.6579245310713,1.9768576502483934,277.92478934866847,2112.8894338732434,2426.4804822490432,2607.1623153474025,2795.9460868692104,3208.7866445063883,19765.316583443244,1.000004073457214
"y_rep[35,1]",2681.283378230783,2.036048726847345,284.5967163702816,2167.5319920411243,2483.922408677572,2666.3131308314105,2864.4659220693998,3284.001390227969,19538.14980793861,0.9999334069660566
"y_rep[36,1]",2749.499327315203,2.059217745980578,290.8047161384357,2225.33406850901,2548.831715599369,2731.258638592728,2934.44503986815,3363.1169247048188,19943.360805469274,0.9999360203158548
"y_rep[37,1]",2816.221801358492,2.1212655531236897,299.52434501584855,2276.0573537752302,2608.7890976947806,2801.192388650406,3005.772230715372,3449.002704052137,19937.659517455482,1.0000601378728948
"y_rep[38,1]",2884.138055562476,2.217986519424373,305.62620638965973,2334.160831981537,2671.841265196044,2867.145950814131,3081.0641307597684,3534.3978049743123,18987.307200146442,0.9999424954234906
"y_rep[39,1]",2954.6063362198356,2.229664345836541,313.179650285574,2386.3425609138935,2739.726967057284,2939.0873887802086,3154.3220388267805,3615.091659565897,19729.137122228527,1.0001408291714762
"y_rep[40,1]",3020.4386145576714,2.31033612522347,321.93200801860644,2441.2344492642037,2795.204369614719,3002.9493376765854,3225.486294086728,3700.7724939401114,19416.8143870263,1.0000124223181681
"y_rep[41,1]",3096.4918174561385,2.273410076895317,325.3696739931193,2504.3465529983073,2869.5572423908043,3079.842386991053,3307.6646698669047,3779.572988852557,20483.23666897481,1.0000316091680768
"y_rep[42,1]",3167.920474679183,2.4092153485131718,339.35378901274714,2552.682059288267,2933.6244252126553,3149.1529451175547,3385.5231833725375,3889.342791431157,19840.570813318827,0.9999788945205865
"y_rep[43,1]",3239.2758718938376,2.4290018174108416,344.1119615084062,2625.919559871549,3000.4074023513836,3219.583999081181,3454.917240790103,3970.932335093519,20069.837626020573,1.000098504253694
"y_rep[44,1]",3314.6473476779142,2.5172330438623374,351.9198716331007,2677.8256641237112,3070.3899932158565,3297.3316872437226,3537.5413749051327,4057.0898618393526,19545.227636124135,0.9999699032909466
"y_rep[45,1]",3391.4406618815565,2.544449190755165,360.3275835796415,2739.7868112889587,3140.4821835473613,3374.0392813530457,3617.881288695864,4153.140037918406,20054.2974613461,0.9999719352075166
"y_rep[46,1]",3465.5044337150175,2.621683943726447,369.00186997238336,2793.684038150277,3210.1377272670998,3446.9147858112624,3698.899797429032,4246.030758562894,19810.546919310087,1.0000580023906218
"y_rep[47,1]",3543.1655130990007,2.682996274839747,379.58423953483384,2857.9388529804883,3273.866721135459,3522.0895380235206,3783.065477668743,4347.438014758304,20015.949875867573,1.0002382959577598
"y_rep[48,1]",3624.4315855252707,2.7861022899973618,386.3871878263737,2924.330655589403,3358.21119057872,3604.630126779683,3869.711533729142,4435.306782280794,19233.18991748781,0.9999933527983516
"y_rep[49,1]",3704.5921703697472,2.8281693139565807,397.62030300301484,3000.9891977517022,3425.5291394637347,3682.733932797775,3954.1671460480134,4551.471225578365,19766.341405048162,1.0001048005461695
"y_rep[50,1]",3784.1375186458345,2.9024231785582835,402.66906245673346,3054.500882735748,3501.7941888880628,3762.0441959993486,4040.8296898531135,4634.154931497001,19247.5324181535,1.0000483475918778
"y_rep[51,1]",3865.1685961167273,2.969006810592841,411.2288757597658,3120.700537654266,3577.990742930746,3845.6250888676423,4128.062731883379,4733.676130283135,19184.249643503852,1.0000758699369146
"y_rep[52,1]",3952.3264949868885,3.1229941846342992,419.603794963805,3194.7161863957253,3664.2335795443714,3930.5170729827796,4219.526225332273,4837.603949155729,18052.463005764952,0.9999248672532136
"y_rep[53,1]",4040.502601368956,3.0808070157351803,430.4157131005158,3262.1980539378496,3742.4413180507263,4017.0414008904236,4319.363437730121,4937.479948429064,19518.53627234376,1.0000564964185454
"y_rep[54,1]",4122.316273882148,3.1550533888766674,441.4678230111675,3321.116592524003,3816.937129431689,4096.9456545402045,4400.985856169944,5063.268630636543,19578.737539706886,1.0000164075745712
"y_rep[55,1]",4214.48537293576,3.267614682174304,448.16037251747235,3400.48803278104,3902.9599236024337,4193.972083029814,4500.2120536984785,5167.551554000217,18810.711702770837,0.9998593050714999
"y_rep[56,1]",4296.68994406577,3.366432772854474,457.17277158114723,3463.644985798049,3981.498503645562,4277.047496621654,4588.291294731442,5251.704715562514,18442.543697339508,0.9999982001688146
"y_rep[57,1]",4385.909961186897,3.46660313200102,468.7120024409371,3541.654544619728,4060.7254897862153,4357.690907653041,4683.073558456671,5375.122562607696,18281.166302363137,0.9998482170578757
"y_rep[58,1]",4473.340020774162,3.399838563862963,477.8805494498814,3606.7358994143287,4138.7722749305885,4451.127571011107,4777.9053469609235,5481.473382465675,19757.050833995476,0.9999956202550455
"y_rep[59,1]",4562.811168862229,3.4667938278334565,484.611378193397,3686.1647811956673,4225.897926165004,4537.819841155284,4867.704353432726,5592.381069562206,19540.298063606933,0.9999908711140869
"y_rep[60,1]",4649.678476772693,3.5581311532458044,496.01157445409956,3758.1203873737145,4305.055335029793,4617.150455461049,4966.120923682765,5691.363310215987,19432.994035658652,0.9999918228847634
"y_rep[61,1]",4754.353226107718,3.681515738321568,509.4599216643091,3847.4189986237598,4397.339352225981,4727.206084269106,5079.746945127405,5838.328891761222,19149.90951186477,1.0000385357214032
"y_rep[62,1]",4839.907248267037,3.6474796807289107,517.8329045702577,3903.5775728160925,4481.986334454984,4813.862520227933,5168.548105697723,5947.236082117305,20155.497582081207,1.0000463858383986
"y_rep[63,1]",4930.865659400311,3.7483944053585896,522.819148469686,3986.4903488576997,4559.932180087879,4906.913786234687,5269.428671492009,6036.034230719367,19454.156659745993,0.9999216848669739
"y_rep[64,1]",5031.982486983721,3.7559066860002646,535.6829759969188,4063.8494058832657,4654.819142110551,5003.012475805693,5378.355185932782,6158.443590948018,20341.646448866082,1.0000241882239707
"y_rep[65,1]",5123.978356959535,3.9593393360910927,551.507646484327,4133.898552891448,4737.876627850595,5094.32857448806,5476.156601588536,6295.639654291457,19402.497093163507,1.0000765580063875
"y_rep[66,1]",5222.597360034271,3.9621517526504366,558.5610998748365,4216.718986920489,4833.955152392151,5195.586942843244,5578.817441739104,6384.550519086331,19873.719818722046,0.9998537701045268
"y_rep[67,1]",5316.640029220045,4.148998632785384,570.6032141354702,4279.057652601688,4920.148142130694,5291.0311642707,5680.567877619112,6509.693560876139,18913.93289546467,0.9999104655757477
"y_rep[68,1]",5414.361430726343,4.108552192987861,579.2049729206492,4371.537169880981,5011.5938919781765,5383.088639393813,5784.434209413762,6641.473146269188,19874.076038628282,0.9999300801126537
"y_rep[69,1]",5505.5616581733875,4.197353548229718,589.6217299065345,4435.6752591421055,5098.24409199738,5474.125134936026,5882.838716852062,6743.535783572798,19733.12456788534,0.9999817117885607
"y_rep[70,1]",5607.3837579505225,4.375738766988597,599.5551112802051,4526.196690812903,5190.728836791239,5572.891615239601,5987.002640969531,6879.13376480608,18773.940897841883,1.0000031180932802
"y_rep[71,1]",5712.001875320236,4.424397613855171,611.8130144049427,4604.339480300722,5292.298382558529,5675.995563590701,6102.141704017624,7015.3824177774995,19121.81548338938,0.99989030672952794
"y_rep[72,1]",5801.46432127575,4.574885122087111,617.8948607506591,4670.711774283577,5376.7069226759395,5761.07894929848,6196.358001170338,7109.021090726059,18241.845778883737,1.000102174049515
"y_rep[73,1]",5911.725977534848,4.550989351403939,628.5568287870256,4780.735548792813,5472.014018317687,5874.370715439394,6314.5512918065515,7250.014927754241,19075.56716082837,1.0001271570871109
"y_rep[74,1]",6002.348871881666,4.5984498277605566,642.3639618711784,4846.721855337826,5558.052476759929,5967.019732419252,6407.637984368728,7364.1886766923135,19513.69134115075,1.0000129098075412
"y_rep[75,1]",6105.868453902074,4.673465156737114,650.3888956689527,4927.30366569487,5656.469256537111,6064.391302257862,6514.2848026619895,7502.723109668703,19367.261534820842,1.0000563695104145
