par,mean,se_mean,sd,2.5%,25%,50%,75%,97.5%,n_eff,Rhat
"y_rep[19,2,1]",5959.064485536726,5.706666137141196,808.9569316131253,4528.790428903501,5388.608595271092,5906.1402493480755,6473.954316291665,7704.333641399185,20094.900987065314,0.9999568845060633
"y_rep[20,1,1]",2243.376193434978,2.1616852752039093,307.67883532217843,1697.963790980384,2029.6911449301665,2223.893072656425,2434.670632231875,2914.394761467714,20258.641413728237,0.9999869909667628
"y_rep[20,2,1]",6090.431155715875,5.8220175632431195,828.6406145297683,4627.251545362541,5511.473274201065,6036.998840539516,6611.449246860622,7890.048737106761,20257.479543936934,1.0002277612717967
"y_rep[21,1,1]",2261.131801023976,2.148590492605813,305.71148996167676,1718.475732436674,2044.9765107157575,2240.0058666972614,2454.5734936925455,2910.750305917653,20244.92741715312,1.0001710268256305
"y_rep[21,2,1]",6230.829679804762,6.004301852720007,845.3329134475606,4742.1287915439,5639.400239256576,6172.402981352751,6750.327195577494,8075.34026251545,19821.22643847106,0.9999216008877696
"y_rep[22,1,1]",2275.2656320297788,2.195773126050103,310.9569179626636,1725.1008926558904,2056.408249982382,2255.797089751164,2469.9995292002955,2940.1726500154987,20055.13156457063,1.0002719143074361
"y_rep[22,2,1]",6367.027005298674,6.190447942001037,863.1739800836241,4828.508506486561,5768.721284480455,6307.773461332805,6909.211484349315,8222.65025360872,19442.5188648284,0.9999404612638543
"y_rep[23,1,1]",2292.6474367927112,2.1894323971629452,309.86622777804365,1745.7312586239939,2075.3551623925214,2274.6727673039063,2488.6912663452795,2951.2228145154413,20030.205743675393,0.9999384726388341
"y_rep[23,2,1]",6503.1983647507905,6.301768477267702,883.9585082391505,4934.737145112398,5882.123244703035,6445.00975635834,7066.828354180436,8385.083854369499,19676.093324056026,0.9999488662172246
"y_rep[24,1,1]",2305.297820722959,2.1964808349934133,314.75486220481935,1754.6300478530059,2085.240913816161,2282.866757347113,2501.6386945720824,2993.435586628995,20534.78020656663,0.9999751668350453
"y_rep[24,2,1]",6648.705077371461,6.372158365401033,893.7059351151116,5081.72635772408,6016.1951722269005,6591.314347941202,7214.889035036651,8556.680096338569,19670.53458543686,0.9998913330322636
"y_rep[25,1,1]",2324.369687133082,2.230440218426715,317.0009715763424,1777.7101075004402,2098.9111454672857,2302.9937368828987,2522.5910307075355,3012.598052935023,20199.47172566194,0.9999402835584955
"y_rep[25,2,1]",6781.973203538866,6.601158960304766,923.6424004551759,5143.876987496732,6136.1069580050125,6729.4506021186535,7359.573153198303,8768.528694101868,19577.955662351196,1.0000515094822187
"y_rep[26,1,1]",2337.6327931643477,2.2712608802505287,319.3570390242556,1777.7020017945028,2113.2335883777832,2316.4486658623528,2534.8493062930884,3037.2655664734802,19770.5587976402,0.9999068978233391
"y_rep[26,2,1]",6937.318318763919,6.605405967866778,940.0993914479608,5260.104336412911,6272.867950461496,6877.678474599532,7531.992775872577,8900.000940941769,20255.758670664818,0.9999003841687721
"y_rep[27,1,1]",2348.3915277948704,2.2574055419221843,318.26222624165183,1785.3346913747887,2125.5840289920234,2330.624046714921,2546.016627804411,3027.250953468213,19877.008291266782,0.9999477635617844
"y_rep[27,2,1]",7064.968350647106,6.868364431052752,957.6409787779279,5367.875350581276,6388.844369858468,7006.417583041224,7663.93173108984,9105.450991230507,19440.11289709449,1.0002366399934595
"y_rep[28,1,1]",2371.6196644424426,2.2889775066812152,321.56880095251614,1805.6768693023537,2145.4432132969355,2350.3191041898867,2572.709206241796,3068.4099295710967,19736.25567402136,0.9999106243587478
"y_rep[28,2,1]",7212.646685846289,6.805402787369007,970.7263699916692,5489.209485357728,6526.233464511982,7151.872732329418,7828.824339710609,9284.273654833885,20346.325390486014,0.9999580819650142
"y_rep[29,1,1]",2382.350587449636,2.3035435058310356,326.6626637337409,1812.8346116088605,2153.1411986774874,2358.8330248813245,2583.224969587926,3093.895658898038,20109.72632923302,1.0001161390593036
"y_rep[29,2,1]",7337.877319484565,6.982095762178298,989.8016879573983,5578.665377586586,6657.073222374997,7271.17921833045,7950.2277505503635,9478.625501269406,20096.701325088085,0.9999432576002393
"y_rep[30,1,1]",2400.242209405188,2.3200743823332886,327.79120873450864,1814.7728337947572,2172.5759335105217,2381.9502610116874,2601.736714953222,3104.7498009674637,19961.39028280826,1.0003167876401988
"y_rep[30,2,1]",7469.668345763609,7.112162205944779,1006.6731412465425,5670.693659937124,6770.15569936211,7411.602632855088,8091.34055801147,9620.359024178093,20034.276210042866,0.9999893224203954
"y_rep[31,1,1]",2415.245042680671,2.322834681458108,328.68491360660147,1826.9012864927493,2185.9881307768674,2395.9425538383457,2621.798268408166,3115.369141956561,20022.713724458907,0.999990399650116
"y_rep[31,2,1]",7621.9248709629765,7.258853257251064,1033.578059475723,5783.952903780015,6898.651904134368,7557.503357284673,8269.889594043576,9828.9091204744709,20274.5175908951,0.9999058917006528
"y_rep[32,1,1]",2428.8290103653653,2.320101419870124,332.1951797669631,1847.1112616926853,2199.7611325900025,2403.5038849826105,2632.2582588042337,3147.9103288409838,20500.889895346416,0.9999793541382701
"y_rep[32,2,1]",7737.9992237305805,7.5739337850319455,1043.3947995792223,5890.192392961867,7012.462442220389,7666.744730844916,8388.55407932356,9995.791321383493,18978.16978406847,0.9999992056086635
"y_rep[33,1,1]",2441.5618779246593,2.3384148639169884,334.5761586680646,1850.3489846606092,2206.126472449488,2418.809793092539,2650.6367824424315,3166.6731430623126,20471.36753218176,0.9999448779891223
"y_rep[33,2,1]",7885.641993493508,7.390760765730809,1059.607550293449,5984.223725738831,7150.958433165075,7824.849654386862,8560.245417681883,10152.594088729174,20554.73107481898,0.9999594389374811
"y_rep[34,1,1]",2454.3790532398784,2.3639701151634176,333.72676604190144,1860.7583179059143,2222.269102704581,2433.6563849146755,2660.2165768128625,3178.1714901499686,19929.578604853134,0.9999941094947515
"y_rep[34,2,1]",8015.3876083051,7.725936985237971,1085.484905629643,6119.291712049699,7256.476495587013,7936.647299968593,8695.257876039188,10367.504581809882,19739.913904493358,1.0000974287614761
"y_rep[35,1,1]",2472.7951088106147,2.3559188743532835,336.55771594192214,1879.0482087999026,2238.006246310751,2450.2103692847054,2678.406654540866,3197.7330945313233,20407.90576860225,0.9998584778964197
"y_rep[35,2,1]",8139.706062964542,7.866966449401306,1106.7054397114548,6186.337492010044,7360.944818061643,8067.151672382875,8838.394609614876,10566.619324917609,19790.168556189514,1.0000111452165923
"y_rep[36,1,1]",2482.6753127652364,2.3965986304355997,339.76779238592763,1886.1267517341446,2244.7694579216536,2456.1966990595365,2694.6557966302175,3220.157104711109,20098.970057575523,0.9998959584851742
"y_rep[36,2,1]",8303.683023332671,7.916127456910508,1120.017902194745,6307.802763984253,7515.315145460487,8232.387985888618,8998.47608662659,10681.970928161867,20018.169977062986,1.000000199328769
"y_rep[37,1,1]",2505.32242727456,2.4489127812701246,344.63280835510193,1902.141542633949,2264.9933899503762,2484.0559232670234,2725.707070668538,3244.937324906971,19804.624036636564,1.0001300520325203
"y_rep[37,2,1]",8412.4745317656525,8.061427363930468,1147.644840025757,6385.333082222382,7614.071022306391,8334.959187747003,9120.589345896178,10905.305739055933,20267.07741261915,0.999930562203191
"y_rep[38,1,1]",2514.844882467232,2.40289721248256,341.87225770085246,1913.7237313098537,2276.754959660031,2492.5907905613158,2728.940723578339,3250.5725230601556,20242.18235062646,0.9999756780294372
