par,mean,se_mean,sd,2.5%,25%,50%,75%,97.5%,n_eff,Rhat
"y_rep[21,1]",3572.1544408276723,1.0561398134052675,150.13346188628063,3292.0789308873523,3469.6884015363466,3567.262171278406,3671.5297944757517,3876.7525782560956,20207.48052133038,0.9999040079367627
"y_rep[22,1]",3692.4972303799573,1.0861986678160391,153.62579953218238,3401.9330258709588,3587.4673396796625,3688.288155475568,3794.826817484646,4002.9453075349134,20003.674573127537,0.9999695336713605
"y_rep[23,1]",3815.149620353505,1.1186740190961053,160.37899930775174,3509.885570810694,3706.276284247073,3812.3413614191786,3920.971446045389,4140.37268796045,20553.599749705227,1.0001889115350107
"y_rep[24,1]",3940.82135418564,1.1763635347547299,164.79358532568855,3627.7569746834242,3828.610232401248,3938.546582681024,4049.055859933918,4272.323869610258,19624.450174035774,1.0001367054118406
"y_rep[25,1]",4069.2345073519527,1.207283154491207,170.44000895228857,3747.324303705688,3951.5682325793955,4067.7859474815327,4182.27569317181,4410.52166171384,19930.80384640284,1.0000432848829646
"y_rep[26,1]",4200.099908603257,1.231667033335007,175.4512276157315,3868.112382049902,4079.6586679837524,4196.851745208962,4314.93174546443,4555.30267506388,20292.0623445612,0.99992443799466
"y_rep[27,1]",4331.159736457629,1.265418761621873,180.83191580224408,3990.3482348340026,4207.038002763836,4325.949724037741,4450.852196197291,4701.598474075756,20421.217383602263,0.9999756273929149
"y_rep[28,1]",4465.2086816531055,1.3305875364211406,187.91126659658562,4107.296294315041,4338.962080676956,4459.832907573926,4588.262927089026,4843.865384294528,19944.29721663024,0.999944561853158
"y_rep[29,1]",4604.409549347039,1.404205403913106,194.18492659813847,4236.139214428028,4471.644167403222,4599.004892130952,4731.188467472952,5001.484376755544,19123.604368929293,0.9999373038079459
"y_rep[30,1]",4743.871567537818,1.4428036918967786,200.11986890314262,4363.504071761539,4607.211345730789,4739.945503328747,4873.759712936202,5149.869264146954,19238.266189837654,1.0000103265320972
"y_rep[31,1]",4886.64435796438,1.4549789358093683,203.20986060234685,4496.338894070765,4749.517492463885,4882.535403139751,5021.175763847696,5297.3998921451785,19506.355907211488,1.0001010861470305
"y_rep[32,1]",5029.3527463255,1.5314100867099598,210.7864846183912,4629.574547561877,4884.959421650829,5025.179930781724,5168.550866008407,5455.383098893959,18945.34487423502,0.9999316228674462
"y_rep[33,1]",5174.344820688086,1.5614419505574386,217.68815579140045,4758.7336109309645,5025.859420049684,5172.2930007524665,5318.915882259139,5610.18313353022,19436.493341704772,0.9999652315489467
"y_rep[34,1]",5326.942186536679,1.5654488995781344,221.7986411806525,4906.845108852244,5175.055791143073,5322.732715351636,5476.697102358313,5767.595747018216,20074.279702228396,0.9999122635259329
"y_rep[35,1]",5475.792034002139,1.680922084744404,230.53317530675378,5037.692084776022,5319.526645994756,5469.395223395544,5627.964139219561,5940.308491155361,18809.25949110358,0.9999903736996366
"y_rep[36,1]",5624.023062624529,1.683743524815132,236.9766873529769,5163.836741718154,5461.815403977104,5619.571672779794,5779.721793559872,6103.777769860539,19808.854928283876,0.9999379368154748
"y_rep[37,1]",5778.059189526838,1.7226270076683046,243.32832669053883,5319.151201032962,5613.3625333612345,5771.799666139322,5937.1844234688615,6273.774122589631,19952.75341673163,0.9999793313340697
"y_rep[38,1]",5929.860212534721,1.7440309834277437,245.59118387491816,5463.054428420623,5763.594846271231,5927.965614285191,6089.992665910629,6427.731456285814,19829.746080106546,0.999886240902182
"y_rep[39,1]",6084.330924556594,1.8133569231041722,253.14187922331897,5602.793901634242,5913.639021693956,6080.287394492407,6249.915228703147,6594.080887200714,19487.737013327544,1.0000416030184482
"y_rep[40,1]",6241.019356384838,1.8789396308536814,261.789121903871,5737.381622492866,6063.918879944337,6237.328042961537,6415.10313419868,6765.654886113533,19412.324361817915,0.9999214110109044
