i,.draw,1,2
3,3,2619.841641510973,3938.560559129134
3,4,2723.5081250784506,4447.210139448255
3,5,2483.1904174833926,4925.673178135889
3,6,2226.118322986466,3891.492284758494
3,7,2522.770596614724,4299.459443690455
3,8,2835.729638553029,3694.583061537422
3,9,2828.5709598210397,3527.3128757097993
3,10,2251.9155399684987,3954.794558268706
3,11,2384.8765498094963,4273.096429939668
3,12,2352.06798275493,4964.628801461795
3,13,2742.0738841248867,4513.453612810919
3,14,2711.6544979750265,4316.631182279251
3,15,2368.586955999292,4174.387456365312
3,16,2450.758181587843,3938.9631638531623
3,17,2342.292966231022,4678.651832225642
3,18,3081.841468498709,3819.0881658772214
3,19,2569.609141019688,4434.284766079637
3,20,2337.091429371979,4239.491774973978
3,21,2432.2742346901873,4466.311831250108
3,22,2495.0499084872863,4617.159146657018
3,23,2859.177695484087,3971.4230867404417
3,24,2535.0202860161726,3477.693990913335
3,25,2402.6009720704355,4129.658739663943
3,26,2677.4815127338975,3815.8313186891028
3,27,2401.735631670277,3495.863450455328
3,28,2699.0276472668643,4476.096994074511
3,29,2594.5866079425027,3527.0523556265516
3,30,2274.8339696488656,4537.353738326482
3,31,2388.1621890737847,4006.1705251714843
3,32,2342.485422311092,4583.134554933439
3,33,2527.5109978800656,4375.362386625854
3,34,2320.6279584736762,3104.3439175915173
3,35,2514.888360322042,4115.4847325432465
3,36,2503.6477785318525,3075.1251960889344
3,37,2342.3492551462423,4415.383063506358
3,38,2400.799211578583,4231.509656314428
3,39,2513.0336603608202,3815.4160529527535
3,40,2768.2787073671407,3410.62193188638
3,41,2716.1783037430628,3818.7919734931656
3,42,2212.0704493695544,3984.795354689037
3,43,2500.2974893915925,4259.851667035465
3,44,2794.0813948550776,4592.562100912177
3,45,2628.3666384717185,4124.157419638996
3,46,2554.3638598061757,4181.219372318656
3,47,2530.09412394751,4439.1581201433955
3,48,2552.9766993804938,3714.190551441191
3,49,3041.885730479646,4299.24408869881
3,50,2480.8965445262907,4447.300958087481
3,51,2694.0545212008647,3572.747128091717
3,52,2389.546682507564,3982.842349508035
3,53,2787.5795969753826,4440.631050803352
3,54,2234.629529914372,4336.208353272577
3,55,2620.3182851060087,4407.9839567114195
3,56,2725.2071234373134,4070.0101793548647
3,57,2604.9673398812242,3574.1260722912925
3,58,2967.4854998585415,4130.294534897597
3,59,2207.6549578396925,3248.800954634484
3,60,2687.666726980358,4694.953924113797
3,61,2244.4077012312014,3618.792291503195
3,62,2261.115178558175,4253.585532652467
3,63,2259.936703306654,4231.893841220885
3,64,2319.206591469601,4338.647661328841
3,65,2210.907022831836,4079.142068034594
