i,.draw,1,2
1,62,1926.0346210504918,3394.9432690689596
1,63,2393.2314692656078,3780.9341185043863
1,64,2049.4590105834814,3965.006850646866
1,65,2101.8477921998892,3674.317245100179
1,66,2122.8114544443024,3528.3695284612854
1,67,1917.8117519399755,3758.972663638629
1,68,2065.7976471181983,3117.148456468639
1,69,1890.321145160195,4107.09857159886
1,70,1997.0116026256858,3820.527964323365
1,71,2292.1145545410336,3959.5765444453923
1,72,1755.3429796015419,4007.5109489246965
1,73,1899.5267730541407,3845.1440440706915
1,74,1751.283530737068,3064.920041867828
1,75,1878.953184633588,3142.560197056156
1,76,2391.1540767409942,2968.4761362789136
1,77,1732.2206765802982,2921.1109792105117
1,78,1920.0808279963953,3907.8342565565663
1,79,1976.7452278051207,4654.67927934612
1,80,1768.0386245067405,3616.343829032984
1,81,1763.7284652956946,4021.2257833227554
1,82,1629.3710104639365,3554.50227608752
1,83,1968.895857386637,2992.8048088596247
1,84,1845.1434377209484,3628.3938961228987
1,85,2575.663539975487,3243.4310279199694
1,86,1725.0786864211727,3454.930686895835
1,87,2321.5595157782323,4509.968255441439
1,88,1962.1621922266959,3108.500123129056
1,89,1397.768722341181,3459.8602582042517
1,90,2179.3418606483933,4586.036987430393
1,91,1680.6207916196647,3517.8610961506683
1,92,2000.764612055076,4294.951815819561
1,93,1538.4946883292432,3788.1514187273683
1,94,1812.0243245522747,3264.908466622699
1,95,1738.4080038034836,3506.8277599021844
1,96,1902.1711429415234,3612.1427497544523
1,97,1705.5059204374581,3642.5199939979047
1,98,1671.6537625519047,4112.142031800772
1,99,2319.692816892508,3312.971776003274
1,100,2256.5024503392283,3323.135815642344
1,101,1701.6595027053074,3999.3853131274245
1,102,1585.7598244946075,3787.8297310581524
1,103,1615.8073275373076,3742.0170684947466
1,104,1791.8136002110953,4672.9584524382535
1,105,1748.6212248237837,4217.366981392527
1,106,1585.4013741395174,4510.8816848748675
1,107,1481.1617170977104,3987.291686634896
1,108,1803.0915769044016,4851.680618575332
1,109,1848.95178822015,3566.2365275501647
1,110,1937.1850000040888,3751.5563588100576
1,111,2101.2590601273014,3920.048071212607
1,112,1761.740988465424,3894.9406225904495
1,113,2347.3595607815737,3922.56577820191
1,114,2004.5765216513787,4061.1728001431684
1,115,1698.9017892428656,3034.9759199451237
1,116,1991.607399803949,3458.9483269575685
1,117,1730.2421690224307,4194.478617087883
1,118,2128.829616551616,4006.2151337962364
1,119,2074.0434261573487,3932.602738288514
1,120,1527.7878104340316,3789.684481918596
1,121,1831.9105334618755,3479.604246553699
1,122,2140.220509157901,4685.556719762014
1,123,1655.904452135058,3439.3209673070533
1,124,1824.1861438432181,4303.109695296673
1,125,1948.121935651208,5338.774632511879
1,126,1757.3793805778912,3701.6515021688588
1,127,2103.3327371954365,4433.346420806074
1,128,1529.2126116387024,3881.676180040056
1,129,1821.0800293321554,3323.634156566861
1,130,2104.0736565860175,4495.256134116187
1,131,1673.2803802470253,2979.7023064194614
1,132,1757.568625410783,3752.050917604239
1,133,1903.9247485981546,3358.082570773962
1,134,1953.7915324641924,4024.5951394900453
1,135,2197.7257676269555,4995.024976581701
1,136,1714.5465190653144,4123.879365242047
1,137,2182.473238942375,3609.60509061937
1,138,1936.738353808363,3683.1674325365047
1,139,1708.7613721707714,3600.051804400313
1,140,1504.6334939996937,5161.850142583315
1,141,1853.994434462875,4212.685287461392
1,142,2039.917310849207,3732.220498912286
1,143,2183.7528784421884,4111.923449713211
1,144,1978.8297388646479,3124.956741934974
1,145,1686.8643241474817,3694.8975453565663
1,146,1949.6788844917166,3960.86436804225
1,147,1647.127009386085,3346.7325898532213
1,148,1585.8906119642133,3334.2679926027513
1,149,1382.0823943900082,3040.313244439509
1,150,2226.652334521579,3094.510785953906
2,1,1753.7477787418595,3620.4514112460392
2,2,1792.9898768154485,2621.2386467703154
2,3,1576.2491094637057,3770.9152574709306
2,4,1990.9411541194756,3494.5882534233165
2,5,1695.1505767988467,3338.994927431738
2,6,1910.7456137811555,3489.1787811046684
2,7,1612.8831417513002,4404.159070654777
2,8,1801.3693340009283,3150.302773137071
2,9,1943.8867125134518,3321.2100431327135
2,10,1685.4403893774668,4624.737814436961
2,11,1764.4444076400678,3740.41900351593
2,12,2002.5236352934608,4669.131997648558
2,13,1955.4264177456332,4377.357339110943
2,14,1678.9932204777947,3433.1537398610853
2,15,1976.2721712062967,3646.213419615237
2,16,1837.5916048371628,4195.333865505361
2,17,1720.2721776357855,3837.908902623368
2,18,1913.5994930143897,3965.280231468511
2,19,2393.646115465633,3219.5119248546066
2,20,1755.9953959877769,4420.2588840308945
2,21,2030.7930957011067,3861.7907900899277
2,22,2786.9909276249286,3414.469907187038
2,23,2444.614374016537,3171.9260881851524
2,24,1617.779715714078,4315.951165977903
2,25,1937.3984796585796,3512.6091124022782
2,26,2217.948433251021,3705.690131344027
2,27,2272.436460449776,3734.7126121860206
2,28,2444.095380744044,4011.2035048588887
2,29,1537.3810058321326,4390.062241436504
2,30,1727.5229359612008,3898.0729951476455
2,31,1994.0609399456691,3567.319839107517
2,32,2145.053323527964,4426.559346632598
2,33,2254.507081139091,3320.821127406725
2,34,1558.834974825384,3668.933415030172
